#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.30, 6093.83
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.3,0.0,0.30,0.00
1,1000,0.3,3.35,0.30,3.33
2,1000,0.3,6.66,0.30,6.66
4,1000,0.3,13.54,0.30,13.30
8,1000,0.29,27.12,0.30,26.55
16,1000,0.3,53.69,0.30,52.87
32,1000,0.36,88.79,0.31,104.83
64,1000,0.36,177.49,0.31,206.12
128,1000,0.47,276.18,0.32,398.75
256,1000,0.49,523.72,0.34,748.52
512,1000,0.57,902.33,0.38,1333.27
1024,1000,0.66,1544.21,0.47,2187.85
2048,1000,0.89,2302.78,0.64,3219.73
4096,1000,1.27,3233.31,0.97,4213.32
8192,1000,2.01,4070.34,1.64,4982.03
16384,1000,4.07,4025.64,2.99,5482.13
32768,1000,4.88,6711.46,5.68,5771.82
65536,640,6.6,9931.69,11.05,5928.45
131072,320,8.9,14734.05,21.81,6010.00
262144,160,14.08,18642.04,43.32,6051.63
524288,80,30.1,17423.96,86.34,6072.66
1048576,40,76.87,13653.45,172.37,6083.22
2097152,20,159.57,13152.39,344.44,6088.52
4194304,10,433.24,9682.35,688.59,6091.18
8388608,5,1193.39,7031.65,1376.87,6092.50
16777216,2,2601.26,6449.76,2753.45,6093.17
33554432,1,5460.91,6144.72,5506.60,6093.50
67108864,1,11035.81,6081.07,11012.89,6093.66
134217728,1,22190.04,6048.87,22025.48,6093.75
268435456,1,44001.53,6100.65,44050.67,6093.79
