#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -32.94, 6085.70
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.3,0.0,-32.94,-0.00
1,1000,0.3,3.35,-32.94,-0.03
2,1000,0.3,6.66,-32.94,-0.06
4,1000,0.3,13.54,-32.94,-0.12
8,1000,0.29,27.12,-32.94,-0.24
16,1000,0.3,53.69,-32.94,-0.49
32,1000,0.36,88.79,-32.94,-0.97
64,1000,0.36,177.49,-32.93,-1.94
128,1000,0.47,276.18,-32.92,-3.89
256,1000,0.49,523.72,-32.90,-7.78
512,1000,0.57,902.33,-32.86,-15.58
1024,1000,0.66,1544.21,-32.77,-31.24
2048,1000,0.89,2302.78,-32.61,-62.81
4096,1000,1.27,3233.31,-32.27,-126.93
8192,1000,2.01,4070.34,-31.60,-259.27
16384,1000,4.07,4025.64,-30.25,-541.61
32768,1000,4.88,6711.46,-27.56,-1189.04
65536,640,6.6,9931.69,-22.17,-2955.54
131072,320,8.9,14734.05,-11.41,-11492.38
262144,160,14.08,18642.04,10.13,25871.41
524288,80,30.1,17423.96,53.21,9853.56
1048576,40,76.87,13653.45,139.36,7524.29
2097152,20,159.57,13152.39,311.66,6728.97
4194304,10,433.24,9682.35,656.26,6391.19
8388608,5,1193.39,7031.65,1345.47,6234.71
16777216,2,2601.26,6449.76,2723.88,6159.30
33554432,1,5460.91,6144.72,5480.71,6122.28
67108864,1,11035.81,6081.07,10994.36,6103.94
134217728,1,22190.04,6048.87,22021.66,6094.81
268435456,1,44001.53,6100.65,44076.26,6090.25
