#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.26, 5352.37
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.25,0.0,0.26,0.00
1,1000,0.26,3.88,0.26,3.84
2,1000,0.26,7.8,0.26,7.68
4,1000,0.26,15.64,0.26,15.34
8,1000,0.25,31.28,0.26,30.59
16,1000,0.26,62.5,0.26,60.84
32,1000,0.27,119.78,0.27,120.31
64,1000,0.27,237.95,0.27,235.33
128,1000,0.28,460.4,0.28,450.84
256,1000,0.3,857.98,0.31,831.63
512,1000,0.53,972.58,0.36,1439.58
1024,1000,0.59,1732.28,0.45,2268.91
2048,1000,0.72,2848.94,0.64,3186.88
4096,1000,0.93,4415.33,1.03,3995.05
8192,1000,1.51,5424.64,1.79,4575.16
16384,1000,2.4,6819.69,3.32,4933.34
32768,1000,3.61,9085.94,6.38,5134.32
65536,640,5.92,11070.88,12.50,5241.08
131072,320,9.13,14402.55,24.75,5296.14
262144,160,18.83,13949.78,49.24,5324.11
524288,80,41.47,12647.81,98.21,5338.20
1048576,40,80.53,13022.73,196.17,5345.28
2097152,20,183.65,11423.23,392.08,5348.82
4194304,10,458.35,9155.95,783.89,5350.59
8388608,5,1020.72,8218.78,1567.53,5351.48
16777216,2,2117.15,7924.69,3134.80,5351.93
33554432,1,5936.42,5652.39,6269.34,5352.15
67108864,1,12469.7,5381.85,12538.42,5352.26
134217728,1,25583.49,5246.76,25076.58,5352.31
268435456,1,52342.49,5128.46,50152.89,5352.34
