#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -128.50, 5155.48
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.25,0.0,-128.50,-0.00
1,1000,0.26,3.88,-128.50,-0.01
2,1000,0.26,7.8,-128.50,-0.02
4,1000,0.26,15.64,-128.50,-0.03
8,1000,0.25,31.28,-128.50,-0.06
16,1000,0.26,62.5,-128.50,-0.12
32,1000,0.27,119.78,-128.50,-0.25
64,1000,0.27,237.95,-128.49,-0.50
128,1000,0.28,460.4,-128.48,-1.00
256,1000,0.3,857.98,-128.45,-1.99
512,1000,0.53,972.58,-128.41,-3.99
1024,1000,0.59,1732.28,-128.31,-7.98
2048,1000,0.72,2848.94,-128.11,-15.99
4096,1000,0.93,4415.33,-127.71,-32.07
8192,1000,1.51,5424.64,-126.92,-64.55
16384,1000,2.4,6819.69,-125.33,-130.73
32768,1000,3.61,9085.94,-122.15,-268.26
65536,640,5.92,11070.88,-115.79,-565.98
131072,320,9.13,14402.55,-103.08,-1271.55
262144,160,18.83,13949.78,-77.66,-3375.67
524288,80,41.47,12647.81,-26.81,-19556.19
1048576,40,80.53,13022.73,74.89,14002.31
2097152,20,183.65,11423.23,278.28,7536.22
4194304,10,458.35,9155.95,685.06,6122.56
8388608,5,1020.72,8218.78,1498.62,5597.56
16777216,2,2117.15,7924.69,3125.74,5367.43
33554432,1,5936.42,5652.39,6379.99,5259.32
67108864,1,12469.7,5381.85,12888.49,5206.88
134217728,1,25583.49,5246.76,25905.48,5181.06
268435456,1,52342.49,5128.46,51939.46,5168.24
