#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 5.15, 5175.21
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,5.11,0.0,5.15,0.00
1,1000,5.15,0.19,5.15,0.19
2,1000,5.15,0.39,5.15,0.39
4,1000,5.15,0.78,5.15,0.78
8,1000,5.14,1.56,5.15,1.55
16,1000,5.15,3.11,5.15,3.10
32,1000,5.15,6.22,5.16,6.21
64,1000,5.17,12.39,5.16,12.40
128,1000,5.19,24.65,5.17,24.74
256,1000,5.24,48.91,5.20,49.24
512,1000,6.56,78.09,5.25,97.54
1024,1000,6.72,152.37,5.35,191.48
2048,1000,6.96,294.41,5.55,369.29
4096,1000,7.58,540.55,5.94,689.39
8192,1000,8.42,972.74,6.73,1216.71
16384,1000,15.09,1085.5,8.32,1970.21
32768,1000,22.55,1453.66,11.48,2853.93
65536,640,39.39,1664.19,17.81,3679.02
131072,320,74.33,1763.92,30.48,4300.70
262144,160,55.63,4712.28,55.80,4697.60
524288,80,90.08,5820.34,106.46,4924.85
1048576,40,152.83,6861.71,207.77,5046.93
2097152,20,310.39,6757.26,410.38,5110.26
4194304,10,728.05,5768.43,815.61,5142.53
8388608,5,1470.48,5705.9,1626.07,5158.82
16777216,2,3216.72,5215.87,3246.99,5167.00
33554432,1,6524.16,5143.29,6488.84,5171.10
67108864,1,12993.75,5164.81,12972.52,5173.16
134217728,1,25833.47,5195.57,25939.89,5174.18
268435456,1,51650.54,5197.18,51874.63,5174.70
