#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -2.74, 5194.81
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,5.11,0.0,-2.74,-0.00
1,1000,5.15,0.19,-2.74,-0.36
2,1000,5.15,0.39,-2.74,-0.73
4,1000,5.15,0.78,-2.74,-1.46
8,1000,5.14,1.56,-2.74,-2.92
16,1000,5.15,3.11,-2.74,-5.84
32,1000,5.15,6.22,-2.74,-11.69
64,1000,5.17,12.39,-2.73,-23.44
128,1000,5.19,24.65,-2.72,-47.09
256,1000,5.24,48.91,-2.69,-95.03
512,1000,6.56,78.09,-2.64,-193.61
1024,1000,6.72,152.37,-2.55,-402.21
2048,1000,6.96,294.41,-2.35,-871.94
4096,1000,7.58,540.55,-1.95,-2095.62
8192,1000,8.42,972.74,-1.17,-7025.30
16384,1000,15.09,1085.5,0.41,39874.68
32768,1000,22.55,1453.66,3.56,9192.09
65536,640,39.39,1664.19,9.87,6638.14
131072,320,74.33,1763.92,22.49,5828.45
262144,160,55.63,4712.28,47.72,5493.42
524288,80,90.08,5820.34,98.18,5339.94
1048576,40,152.83,6861.71,199.11,5266.38
2097152,20,310.39,6757.26,400.96,5230.35
4194304,10,728.05,5768.43,804.66,5212.52
8388608,5,1470.48,5705.9,1612.06,5203.65
16777216,2,3216.72,5215.87,3226.87,5199.22
33554432,1,6524.16,5143.29,6456.48,5197.02
67108864,1,12993.75,5164.81,12915.71,5195.91
134217728,1,25833.47,5195.57,25834.15,5195.36
268435456,1,51650.54,5197.18,51671.05,5195.08
