#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -128.46, 5133.50
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.25,0.0,-128.46,-0.00
1,1000,0.25,3.91,-128.46,-0.01
2,1000,0.26,7.8,-128.46,-0.02
4,1000,0.26,15.61,-128.46,-0.03
8,1000,0.25,31.31,-128.46,-0.06
16,1000,0.26,62.56,-128.46,-0.12
32,1000,0.27,119.41,-128.46,-0.25
64,1000,0.27,238.49,-128.45,-0.50
128,1000,0.28,461.15,-128.44,-1.00
256,1000,0.3,861.77,-128.41,-1.99
512,1000,0.53,969.86,-128.36,-3.99
1024,1000,0.59,1746.95,-128.26,-7.98
2048,1000,0.71,2865.94,-128.06,-15.99
4096,1000,0.93,4414.29,-127.67,-32.08
8192,1000,1.51,5426.22,-126.87,-64.57
16384,1000,2.41,6792.37,-125.27,-130.79
32768,1000,3.67,8935.67,-122.08,-268.41
65536,640,5.94,11033.9,-115.70,-566.44
131072,320,8.92,14700.3,-102.93,-1273.39
262144,160,18.46,14229.56,-77.40,-3386.94
524288,80,40.64,12900.62,-26.33,-19909.88
1048576,40,80.47,13034.09,75.80,13833.87
2097152,20,183.12,11455.9,280.06,7488.24
4194304,10,466.88,8986.35,688.58,6091.21
8388608,5,1029.35,8149.83,1505.63,5571.50
16777216,2,2131.83,7870.75,3139.72,5343.54
33554432,1,6011.88,5581.71,6407.91,5236.41
67108864,1,12473.85,5380.32,12944.28,5184.44
134217728,1,25687.63,5225.2,26017.02,5158.84
268435456,1,52576.05,5105.75,52162.50,5146.14
