#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 1.34, 7782.48
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.32,0.0,1.34,0.00
1,1000,1.34,0.75,1.34,0.75
2,1000,1.34,1.5,1.34,1.49
4,1000,1.33,3.0,1.34,2.98
8,1000,1.34,5.99,1.34,5.97
16,1000,1.33,12.01,1.34,11.92
32,1000,1.34,23.89,1.34,23.81
64,1000,1.38,46.29,1.35,47.47
128,1000,1.46,87.81,1.36,94.36
256,1000,1.94,131.97,1.37,186.47
512,1000,2.07,247.49,1.41,364.21
1024,1000,2.31,442.69,1.47,695.85
2048,1000,2.8,730.69,1.60,1277.48
4096,1000,3.86,1062.08,1.87,2194.70
8192,1000,5.41,1515.25,2.39,3423.86
16384,1000,8.17,2005.02,3.45,4755.54
32768,1000,11.04,2968.29,5.55,5903.63
65536,640,16.57,3956.17,9.76,6714.09
131072,320,27.66,4740.19,18.18,7208.91
262144,160,75.69,3463.95,35.02,7484.73
524288,80,111.67,4695.48,68.71,7630.70
1048576,40,178.65,5869.65,136.08,7705.84
2097152,20,311.84,6725.2,270.81,7743.97
4194304,10,553.81,7574.42,540.28,7763.18
8388608,5,1070.39,7837.03,1079.22,7772.82
16777216,2,2142.4,7831.23,2157.11,7777.65
33554432,1,4262.43,7872.2,4312.87,7780.06
67108864,1,8308.03,8077.64,8624.41,7781.27
134217728,1,16809.67,7985.13,17247.48,7781.88
268435456,1,37321.76,7194.96,34493.62,7782.18
