#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.25, 5314.42
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.25,0.0,0.25,0.00
1,1000,0.26,3.91,0.25,4.00
2,1000,0.25,7.86,0.25,7.99
4,1000,0.25,15.76,0.25,15.95
8,1000,0.25,31.55,0.25,31.81
16,1000,0.25,63.08,0.25,63.24
32,1000,0.26,120.7,0.26,124.99
64,1000,0.27,239.57,0.26,244.23
128,1000,0.28,464.09,0.27,467.01
256,1000,0.3,863.29,0.30,858.57
512,1000,0.53,966.25,0.35,1478.31
1024,1000,0.59,1747.65,0.44,2313.17
2048,1000,0.71,2868.24,0.64,3223.34
4096,1000,0.92,4438.92,1.02,4012.80
8192,1000,1.51,5441.72,1.79,4572.79
16384,1000,2.43,6758.58,3.33,4915.79
32768,1000,3.62,9048.1,6.42,5107.34
65536,640,5.92,11069.66,12.58,5208.82
131072,320,8.96,14633.47,24.91,5261.09
262144,160,19.22,13652.45,49.58,5287.62
524288,80,41.18,12740.57,98.90,5300.99
1048576,40,79.97,13134.76,197.56,5307.69
2097152,20,187.03,11214.37,394.87,5311.06
4194304,10,434.94,9669.58,789.48,5312.74
8388608,5,1055.85,7948.35,1578.71,5313.58
16777216,2,2169.45,7733.59,3157.17,5314.00
33554432,1,6062.86,5534.56,6314.10,5314.21
67108864,1,12435.64,5396.63,12627.94,5314.31
134217728,1,25712.5,5220.05,25255.64,5314.37
268435456,1,52569.36,5106.44,50511.02,5314.39
