#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -126.25, 5133.43
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.25,0.0,-126.25,-0.00
1,1000,0.26,3.91,-126.25,-0.01
2,1000,0.25,7.86,-126.25,-0.02
4,1000,0.25,15.76,-126.25,-0.03
8,1000,0.25,31.55,-126.24,-0.06
16,1000,0.25,63.08,-126.24,-0.13
32,1000,0.26,120.7,-126.24,-0.25
64,1000,0.27,239.57,-126.23,-0.51
128,1000,0.28,464.09,-126.22,-1.01
256,1000,0.3,863.29,-126.20,-2.03
512,1000,0.53,966.25,-126.15,-4.06
1024,1000,0.59,1747.65,-126.05,-8.12
2048,1000,0.71,2868.24,-125.85,-16.27
4096,1000,0.92,4438.92,-125.45,-32.65
8192,1000,1.51,5441.72,-124.65,-65.72
16384,1000,2.43,6758.58,-123.05,-133.14
32768,1000,3.62,9048.1,-119.86,-273.38
65536,640,5.92,11069.66,-113.48,-577.51
131072,320,8.96,14633.47,-100.71,-1301.44
262144,160,19.22,13652.45,-75.18,-3486.88
524288,80,41.18,12740.57,-24.11,-21741.89
1048576,40,79.97,13134.76,78.02,13440.21
2097152,20,187.03,11214.37,282.28,7429.28
4194304,10,434.94,9669.58,690.81,6071.57
8388608,5,1055.85,7948.35,1507.87,5563.23
16777216,2,2169.45,7733.59,3141.98,5339.70
33554432,1,6062.86,5534.56,6410.20,5234.53
67108864,1,12435.64,5396.63,12946.65,5183.49
134217728,1,25712.5,5220.05,26019.55,5158.34
268435456,1,52569.36,5106.44,52165.35,5145.86
