#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 1.46, 12191.82
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.46,0.0,1.46,0.00
1,1000,1.46,0.69,1.46,0.68
2,1000,1.46,1.37,1.46,1.37
4,1000,1.46,2.73,1.46,2.74
8,1000,1.47,5.46,1.46,5.48
16,1000,1.46,10.94,1.46,10.95
32,1000,1.49,21.5,1.46,21.88
64,1000,1.73,36.94,1.47,43.68
128,1000,1.77,72.15,1.47,87.05
256,1000,2.39,112.71,1.48,172.86
512,1000,2.3,228.81,1.50,340.88
1024,1000,2.37,432.86,1.54,663.22
2048,1000,3.04,673.91,1.63,1258.00
4096,1000,3.9,1049.48,1.80,2280.67
8192,1000,5.01,1636.72,2.13,3842.53
16384,1000,6.76,2424.88,2.80,5843.39
32768,1000,10.02,3271.47,4.15,7900.27
65536,640,13.59,4823.79,6.84,9587.72
131072,320,22.71,5772.38,12.21,10734.09
262144,160,33.61,7800.48,22.96,11416.61
524288,80,57.08,9187.52,44.46,11791.49
1048576,40,98.57,10637.59,87.47,11988.31
2097152,20,184.92,11341.03,173.47,12089.21
4194304,10,355.15,11810.03,345.49,12140.30
8388608,5,697.82,12021.28,689.51,12166.00
16777216,2,1381.79,12141.74,1377.56,12178.90
33554432,1,2758.93,12162.17,2753.67,12185.36
67108864,1,5502.64,12195.83,5505.88,12188.59
134217728,1,10997.68,12204.25,11010.29,12190.20
268435456,1,21993.9,12205.02,22019.13,12191.01
