#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 5.72, 12208.19
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.46,0.0,5.72,0.00
1,1000,1.46,0.69,5.72,0.17
2,1000,1.46,1.37,5.72,0.35
4,1000,1.46,2.73,5.72,0.70
8,1000,1.47,5.46,5.72,1.40
16,1000,1.46,10.94,5.72,2.80
32,1000,1.49,21.5,5.72,5.59
64,1000,1.73,36.94,5.73,11.18
128,1000,1.77,72.15,5.73,22.33
256,1000,2.39,112.71,5.74,44.58
512,1000,2.3,228.81,5.76,88.84
1024,1000,2.37,432.86,5.81,176.39
2048,1000,3.04,673.91,5.89,347.76
4096,1000,3.9,1049.48,6.06,676.25
8192,1000,5.01,1636.72,6.39,1281.51
16384,1000,6.76,2424.88,7.06,2319.54
32768,1000,10.02,3271.47,8.41,3898.39
65536,640,13.59,4823.79,11.09,5909.67
131072,320,22.71,5772.38,16.46,7964.12
262144,160,33.61,7800.48,27.19,9639.70
524288,80,57.08,9187.52,48.67,10772.96
1048576,40,98.57,10637.59,91.61,11445.76
2097152,20,184.92,11341.03,177.50,11814.69
4194304,10,355.15,11810.03,349.29,12008.21
8388608,5,697.82,12021.28,692.85,12107.38
16777216,2,1381.79,12141.74,1379.98,12157.57
33554432,1,2758.93,12162.17,2754.24,12182.83
67108864,1,5502.64,12195.83,5502.76,12195.49
134217728,1,10997.68,12204.25,10999.80,12201.84
268435456,1,21993.9,12205.02,21993.87,12205.01
