#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 11.36, 2322.14
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,11.68,0.0,11.36,0.00
1,1000,11.57,0.09,11.36,0.09
2,1000,11.36,0.18,11.36,0.18
4,1000,11.33,0.36,11.36,0.35
8,1000,11.16,0.72,11.36,0.70
16,1000,11.18,1.44,11.37,1.41
32,1000,11.21,2.88,11.37,2.81
64,1000,11.07,5.82,11.39,5.62
128,1000,10.71,12.03,11.42,11.21
256,1000,10.67,24.07,11.47,22.32
512,1000,13.6,37.77,11.58,44.21
1024,1000,13.92,73.77,11.80,86.77
2048,1000,15.92,128.65,12.24,167.29
4096,1000,17.44,235.02,13.12,312.10
8192,1000,19.52,419.8,14.89,550.25
16384,1000,32.64,503.06,18.42,889.68
32768,1000,45.24,724.34,25.47,1286.48
65536,640,76.67,854.77,39.58,1655.69
131072,320,140.71,931.48,67.80,1933.09
262144,160,209.18,1253.81,124.25,2109.83
524288,80,315.0,1664.55,237.14,2210.90
1048576,40,512.73,2045.1,462.92,2265.15
2097152,20,914.89,2292.94,914.47,2293.29
4194304,10,1768.0,2373.67,1817.58,2307.63
8388608,5,3598.0,2333.22,3623.81,2314.86
16777216,2,7234.71,2320.88,7236.25,2318.49
33554432,1,14540.61,2310.17,14461.15,2320.32
67108864,1,29109.87,2307.81,28910.94,2321.23
134217728,1,56988.03,2360.41,57810.51,2321.68
268435456,1,116349.25,2310.19,115609.67,2321.91
