#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 8.04, 2316.23
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,11.68,0.0,8.04,0.00
1,1000,11.57,0.09,8.04,0.12
2,1000,11.36,0.18,8.04,0.25
4,1000,11.33,0.36,8.04,0.50
8,1000,11.16,0.72,8.04,1.00
16,1000,11.18,1.44,8.04,1.99
32,1000,11.21,2.88,8.05,3.98
64,1000,11.07,5.82,8.06,7.94
128,1000,10.71,12.03,8.09,15.82
256,1000,10.67,24.07,8.15,31.43
512,1000,13.6,37.77,8.26,62.01
1024,1000,13.92,73.77,8.48,120.79
2048,1000,15.92,128.65,8.92,229.60
4096,1000,17.44,235.02,9.80,417.79
8192,1000,19.52,419.8,11.57,707.89
16384,1000,32.64,503.06,15.11,1084.38
32768,1000,45.24,724.34,22.18,1477.19
65536,640,76.67,854.77,36.33,1803.92
131072,320,140.71,931.48,64.62,2028.22
262144,160,209.18,1253.81,121.21,2162.68
524288,80,315.0,1664.55,234.39,2236.82
1048576,40,512.73,2045.1,460.74,2275.83
2097152,20,914.89,2292.94,913.45,2295.85
4194304,10,1768.0,2373.67,1818.87,2305.99
8388608,5,3598.0,2333.22,3629.70,2311.10
16777216,2,7234.71,2320.88,7251.37,2313.66
33554432,1,14540.61,2310.17,14494.71,2314.94
67108864,1,29109.87,2307.81,28981.39,2315.59
134217728,1,56988.03,2360.41,57954.74,2315.91
268435456,1,116349.25,2310.19,115901.44,2316.07
