#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 1.82, 7871.35
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.81,0.0,1.82,0.00
1,1000,1.82,0.55,1.82,0.55
2,1000,1.82,1.1,1.82,1.10
4,1000,1.82,2.2,1.82,2.20
8,1000,1.82,4.38,1.82,4.39
16,1000,1.82,8.79,1.82,8.78
32,1000,1.83,17.51,1.82,17.54
64,1000,1.88,34.09,1.83,35.01
128,1000,1.96,65.36,1.84,69.71
256,1000,2.44,105.11,1.85,138.19
512,1000,2.58,198.14,1.89,271.61
1024,1000,2.82,363.45,1.95,525.10
2048,1000,3.28,624.74,2.08,984.53
4096,1000,4.33,945.77,2.34,1750.15
8192,1000,5.93,1381.84,2.86,2863.60
16384,1000,9.0,1821.29,3.90,4199.44
32768,1000,11.66,2809.43,5.98,5476.90
65536,640,16.77,3909.86,10.15,6459.36
131072,320,25.9,5062.18,18.47,7095.80
262144,160,75.73,3461.8,35.12,7463.48
524288,80,109.56,4785.52,68.43,7661.99
1048576,40,173.99,6026.75,135.03,7765.26
2097152,20,301.56,6954.45,268.25,7817.94
4194304,10,559.63,7494.86,534.68,7844.56
8388608,5,1082.28,7750.85,1067.53,7857.93
16777216,2,2188.66,7665.6,2133.25,7864.63
33554432,1,4311.46,7782.64,4264.68,7867.99
67108864,1,8596.02,7806.98,8527.53,7869.67
134217728,1,16735.03,8020.22,17053.24,7870.51
268435456,1,34085.57,7875.58,34104.67,7870.93
