#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 12.41, 7901.16
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.81,0.0,12.41,0.00
1,1000,1.82,0.55,12.41,0.08
2,1000,1.82,1.1,12.41,0.16
4,1000,1.82,2.2,12.42,0.32
8,1000,1.82,4.38,12.42,0.64
16,1000,1.82,8.79,12.42,1.29
32,1000,1.83,17.51,12.42,2.58
64,1000,1.88,34.09,12.42,5.15
128,1000,1.96,65.36,12.43,10.30
256,1000,2.44,105.11,12.45,20.57
512,1000,2.58,198.14,12.48,41.03
1024,1000,2.82,363.45,12.54,81.63
2048,1000,3.28,624.74,12.67,161.59
4096,1000,4.33,945.77,12.93,316.71
8192,1000,5.93,1381.84,13.45,609.00
16384,1000,9.0,1821.29,14.49,1130.84
32768,1000,11.66,2809.43,16.56,1978.51
65536,640,16.77,3909.86,20.71,3164.58
131072,320,25.9,5062.18,29.00,4519.15
262144,160,75.73,3461.8,45.59,5749.70
524288,80,109.56,4785.52,78.77,6655.89
1048576,40,173.99,6026.75,145.13,7225.26
2097152,20,301.56,6954.45,277.84,7548.11
4194304,10,559.63,7494.86,543.26,7720.60
8388608,5,1082.28,7750.85,1074.11,7809.84
16777216,2,2188.66,7665.6,2135.80,7855.24
33554432,1,4311.46,7782.64,4259.19,7878.13
67108864,1,8596.02,7806.98,8505.96,7889.63
134217728,1,16735.03,8020.22,16999.50,7895.39
268435456,1,34085.57,7875.58,33986.58,7898.28
