#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.49, 4993.55
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.49,0.0,0.49,0.00
1,1000,0.49,2.04,0.49,2.04
2,1000,0.49,4.08,0.49,4.08
4,1000,0.49,8.15,0.49,8.15
8,1000,0.49,16.31,0.49,16.27
16,1000,0.49,32.69,0.49,32.44
32,1000,0.68,46.81,0.50,64.46
64,1000,0.68,93.7,0.50,127.28
128,1000,1.23,104.11,0.52,248.24
256,1000,1.24,206.71,0.54,472.97
512,1000,1.31,389.98,0.59,864.09
1024,1000,1.58,649.63,0.70,1473.24
2048,1000,2.23,920.53,0.90,2275.23
4096,1000,3.0,1367.08,1.31,3126.10
8192,1000,4.49,1823.45,2.13,3845.08
16384,1000,4.93,3326.19,3.77,4344.70
32768,1000,5.8,5651.05,7.05,4646.58
65536,640,7.12,9206.22,13.61,4813.82
131072,320,9.63,13605.72,26.74,4902.04
262144,160,14.8,17719.82,52.99,4947.37
524288,80,28.05,18687.85,105.48,4970.35
1048576,40,68.25,15364.64,210.48,4981.92
2097152,20,159.97,13110.78,420.46,4987.73
4194304,10,361.08,11618.87,840.43,4990.64
8388608,5,872.79,9617.18,1680.38,4992.09
16777216,2,2556.91,6562.67,3360.27,4992.82
33554432,1,6782.35,4947.45,6720.04,4993.19
67108864,1,13288.12,5050.35,13439.60,4993.37
134217728,1,27383.81,4901.38,26878.71,4993.46
268435456,1,52893.73,5075.02,53756.93,4993.50
