#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -72.89, 5034.27
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.49,0.0,-72.89,-0.00
1,1000,0.49,2.04,-72.89,-0.01
2,1000,0.49,4.08,-72.89,-0.03
4,1000,0.49,8.15,-72.89,-0.05
8,1000,0.49,16.31,-72.89,-0.11
16,1000,0.49,32.69,-72.88,-0.22
32,1000,0.68,46.81,-72.88,-0.44
64,1000,0.68,93.7,-72.87,-0.88
128,1000,1.23,104.11,-72.86,-1.76
256,1000,1.24,206.71,-72.84,-3.51
512,1000,1.31,389.98,-72.79,-7.03
1024,1000,1.58,649.63,-72.68,-14.09
2048,1000,2.23,920.53,-72.48,-28.26
4096,1000,3.0,1367.08,-72.07,-56.83
8192,1000,4.49,1823.45,-71.26,-114.96
16384,1000,4.93,3326.19,-69.63,-235.29
32768,1000,5.8,5651.05,-66.38,-493.66
65536,640,7.12,9206.22,-59.87,-1094.66
131072,320,9.63,13605.72,-46.85,-2797.65
262144,160,14.8,17719.82,-20.81,-12594.09
524288,80,28.05,18687.85,31.26,16773.41
1048576,40,68.25,15364.64,135.40,7744.23
2097152,20,159.97,13110.78,343.69,6101.89
4194304,10,361.08,11618.87,760.26,5516.90
8388608,5,872.79,9617.18,1593.42,5264.55
16777216,2,2556.91,6562.67,3259.72,5146.83
33554432,1,6782.35,4947.45,6592.32,5089.93
67108864,1,13288.12,5050.35,13257.53,5061.94
134217728,1,27383.81,4901.38,26587.94,5048.07
268435456,1,52893.73,5075.02,53248.77,5041.16
