#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.45, 4264.99
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.44,0.0,0.45,0.00
1,1000,0.44,2.25,0.45,2.22
2,1000,0.45,4.49,0.45,4.44
4,1000,0.44,9.01,0.45,8.87
8,1000,0.45,17.94,0.45,17.70
16,1000,0.44,36.02,0.45,35.26
32,1000,0.49,65.46,0.46,69.94
64,1000,0.48,132.72,0.47,137.63
128,1000,0.59,216.18,0.48,266.66
256,1000,0.63,406.87,0.51,501.94
512,1000,0.95,540.21,0.57,898.17
1024,1000,0.99,1030.12,0.69,1483.86
2048,1000,1.14,1802.62,0.93,2201.70
4096,1000,1.58,2596.69,1.41,2904.19
8192,1000,2.07,3964.93,2.37,3455.44
16384,1000,3.52,4651.11,4.29,3817.77
32768,1000,5.34,6131.99,8.13,4029.01
65536,640,9.21,7119.91,15.82,4143.64
131072,320,15.37,8532.42,31.18,4203.44
262144,160,33.79,7763.19,61.91,4233.99
524288,80,65.89,7957.5,123.38,4249.43
1048576,40,130.7,8022.88,246.31,4257.20
2097152,20,256.72,8169.68,492.16,4261.09
4194304,10,533.52,7863.49,983.88,4263.04
8388608,5,1173.23,7152.59,1967.30,4264.01
16777216,2,2712.24,6188.72,3934.16,4264.50
33554432,1,7879.93,4258.28,7867.86,4264.75
67108864,1,15803.51,4246.5,15735.27,4264.87
134217728,1,31566.65,4251.9,31470.10,4264.93
268435456,1,62380.54,4303.27,62939.74,4264.96
