#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -88.65, 4286.69
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.44,0.0,-88.65,-0.00
1,1000,0.44,2.25,-88.65,-0.01
2,1000,0.45,4.49,-88.65,-0.02
4,1000,0.44,9.01,-88.65,-0.05
8,1000,0.45,17.94,-88.65,-0.09
16,1000,0.44,36.02,-88.65,-0.18
32,1000,0.49,65.46,-88.65,-0.36
64,1000,0.48,132.72,-88.64,-0.72
128,1000,0.59,216.18,-88.62,-1.44
256,1000,0.63,406.87,-88.59,-2.89
512,1000,0.95,540.21,-88.53,-5.78
1024,1000,0.99,1030.12,-88.42,-11.58
2048,1000,1.14,1802.62,-88.18,-23.23
4096,1000,1.58,2596.69,-87.70,-46.71
8192,1000,2.07,3964.93,-86.74,-94.44
16384,1000,3.52,4651.11,-84.83,-193.13
32768,1000,5.34,6131.99,-81.01,-404.49
65536,640,9.21,7119.91,-73.37,-893.27
131072,320,15.37,8532.42,-58.08,-2256.84
262144,160,33.79,7763.19,-27.50,-9532.07
524288,80,65.89,7957.5,33.65,15579.81
1048576,40,130.7,8022.88,155.96,6723.46
2097152,20,256.72,8169.68,400.57,5235.42
4194304,10,533.52,7863.49,889.79,4713.79
8388608,5,1173.23,7152.59,1868.24,4490.11
16777216,2,2712.24,6188.72,3825.14,4386.04
33554432,1,7879.93,4258.28,7738.93,4335.80
67108864,1,15803.51,4246.5,15566.52,4311.10
134217728,1,31566.65,4251.9,31221.69,4298.86
268435456,1,62380.54,4303.27,62532.03,4292.77
