#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 8.72, 3094.73
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,8.73,0.0,8.72,0.00
1,1000,8.72,0.11,8.72,0.11
2,1000,8.73,0.23,8.72,0.23
4,1000,8.72,0.46,8.72,0.46
8,1000,8.72,0.92,8.72,0.92
16,1000,8.73,1.83,8.73,1.83
32,1000,8.74,3.66,8.73,3.67
64,1000,8.95,7.16,8.74,7.32
128,1000,8.96,14.29,8.76,14.61
256,1000,8.99,28.47,8.80,29.08
512,1000,10.37,49.39,8.89,57.62
1024,1000,10.59,96.72,9.05,113.14
2048,1000,10.99,186.38,9.38,218.30
4096,1000,12.77,320.87,10.04,407.82
8192,1000,13.91,589.11,11.37,720.68
16384,1000,25.46,643.59,14.01,1169.10
32768,1000,37.03,885.34,19.31,1697.09
65536,640,57.42,1141.49,29.90,2192.09
131072,320,104.16,1258.42,51.07,2566.35
262144,160,125.01,2097.12,93.43,2805.88
524288,80,185.67,2823.83,178.13,2943.24
1048576,40,340.36,3080.88,347.55,3017.08
2097152,20,673.98,3111.78,686.37,3055.41
4194304,10,1335.28,3141.43,1364.03,3074.95
8388608,5,2699.38,3107.91,2719.33,3084.81
16777216,2,5338.06,3143.17,5429.94,3089.76
33554432,1,10895.46,3079.91,10851.16,3092.24
67108864,1,21742.63,3086.83,21693.60,3093.49
134217728,1,43281.44,3101.26,43378.49,3094.11
268435456,1,86296.37,3110.91,86748.26,3094.42
