#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 19.01, 3108.44
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,8.73,0.0,19.01,0.00
1,1000,8.72,0.11,19.01,0.05
2,1000,8.73,0.23,19.01,0.11
4,1000,8.72,0.46,19.01,0.21
8,1000,8.72,0.92,19.01,0.42
16,1000,8.73,1.83,19.02,0.84
32,1000,8.74,3.66,19.02,1.68
64,1000,8.95,7.16,19.03,3.36
128,1000,8.96,14.29,19.05,6.72
256,1000,8.99,28.47,19.09,13.41
512,1000,10.37,49.39,19.18,26.70
1024,1000,10.59,96.72,19.34,52.94
2048,1000,10.99,186.38,19.67,104.12
4096,1000,12.77,320.87,20.33,201.48
8192,1000,13.91,589.11,21.65,378.44
16384,1000,25.46,643.59,24.28,674.73
32768,1000,37.03,885.34,29.55,1108.78
65536,640,57.42,1141.49,40.09,1634.53
131072,320,104.16,1258.42,61.18,2142.47
262144,160,125.01,2097.12,103.34,2536.60
524288,80,185.67,2823.83,187.68,2793.56
1048576,40,340.36,3080.88,356.34,2942.60
2097152,20,673.98,3111.78,693.68,3023.25
4194304,10,1335.28,3141.43,1368.34,3065.25
8388608,5,2699.38,3107.91,2717.67,3086.69
16777216,2,5338.06,3143.17,5416.32,3097.53
33554432,1,10895.46,3079.91,10813.64,3102.97
67108864,1,21742.63,3086.83,21608.26,3105.70
134217728,1,43281.44,3101.26,43197.51,3107.07
268435456,1,86296.37,3110.91,86376.00,3107.75
