#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.45, 4266.28
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.44,0.0,0.45,0.00
1,1000,0.44,2.25,0.45,2.22
2,1000,0.45,4.48,0.45,4.44
4,1000,0.45,8.98,0.45,8.87
8,1000,0.45,17.96,0.45,17.70
16,1000,0.44,36.04,0.45,35.26
32,1000,0.49,65.49,0.46,69.95
64,1000,0.48,131.98,0.47,137.63
128,1000,0.59,216.12,0.48,266.67
256,1000,0.63,405.58,0.51,501.96
512,1000,0.95,537.92,0.57,898.23
1024,1000,1.0,1029.58,0.69,1484.01
2048,1000,1.14,1795.51,0.93,2202.05
4096,1000,1.58,2598.6,1.41,2904.79
8192,1000,2.1,3909.45,2.37,3456.29
16384,1000,3.52,4658.16,4.29,3818.80
32768,1000,5.33,6148.73,8.13,4030.16
65536,640,9.21,7118.56,15.81,4144.86
131072,320,15.57,8420.8,31.17,4204.69
262144,160,34.0,7713.77,61.90,4235.26
524288,80,65.47,8009.04,123.34,4250.71
1048576,40,129.87,8074.25,246.23,4258.48
2097152,20,257.27,8152.0,492.01,4262.38
4194304,10,534.42,7849.5,983.58,4264.33
8388608,5,1174.58,7143.19,1966.71,4265.30
16777216,2,2701.98,6210.97,3932.97,4265.79
33554432,1,7900.96,4246.91,7865.48,4266.04
67108864,1,15751.49,4260.5,15730.52,4266.16
134217728,1,31578.89,4250.26,31460.58,4266.22
268435456,1,62319.85,4307.45,62920.71,4266.25
