#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -88.26, 4290.10
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.44,0.0,-88.26,-0.00
1,1000,0.44,2.25,-88.26,-0.01
2,1000,0.45,4.48,-88.26,-0.02
4,1000,0.45,8.98,-88.26,-0.05
8,1000,0.45,17.96,-88.26,-0.09
16,1000,0.44,36.04,-88.26,-0.18
32,1000,0.49,65.49,-88.25,-0.36
64,1000,0.48,131.98,-88.25,-0.73
128,1000,0.59,216.12,-88.23,-1.45
256,1000,0.63,405.58,-88.20,-2.90
512,1000,0.95,537.92,-88.14,-5.81
1024,1000,1.0,1029.58,-88.02,-11.63
2048,1000,1.14,1795.51,-87.78,-23.33
4096,1000,1.58,2598.6,-87.31,-46.91
8192,1000,2.1,3909.45,-86.35,-94.87
16384,1000,3.52,4658.16,-84.44,-194.02
32768,1000,5.33,6148.73,-80.62,-406.43
65536,640,9.21,7118.56,-72.99,-897.93
131072,320,15.57,8420.8,-57.71,-2271.23
262144,160,34.0,7713.77,-27.16,-9652.77
524288,80,65.47,8009.04,33.95,15444.28
1048576,40,129.87,8074.25,156.16,6714.93
2097152,20,257.27,8152.0,400.57,5235.37
4194304,10,534.42,7849.5,889.41,4715.83
8388608,5,1174.58,7143.19,1867.08,4492.90
16777216,2,2701.98,6210.97,3822.42,4389.16
33554432,1,7900.96,4246.91,7733.11,4339.06
67108864,1,15751.49,4260.5,15554.48,4314.44
134217728,1,31578.89,4250.26,31197.21,4302.23
268435456,1,62319.85,4307.45,62482.69,4296.16
