#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 1.19, 6850.74
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.18,0.0,1.19,0.00
1,1000,1.19,0.84,1.19,0.84
2,1000,1.18,1.69,1.19,1.68
4,1000,1.18,3.37,1.19,3.36
8,1000,1.19,6.71,1.19,6.72
16,1000,1.18,13.56,1.19,13.42
32,1000,1.19,27.01,1.19,26.79
64,1000,1.22,52.51,1.20,53.36
128,1000,1.27,100.64,1.21,105.90
256,1000,1.7,150.3,1.23,208.58
512,1000,1.8,284.3,1.26,404.83
1024,1000,2.0,510.87,1.34,764.48
2048,1000,2.44,837.95,1.49,1375.47
4096,1000,3.39,1208.45,1.79,2290.97
8192,1000,4.73,1730.51,2.39,3433.67
16384,1000,7.79,2103.36,3.58,4574.53
32768,1000,10.01,3273.93,5.97,5485.90
65536,640,14.61,4484.81,10.76,6092.82
131072,320,24.32,5390.2,20.32,6449.59
262144,160,75.37,3478.42,39.46,6644.12
524288,80,111.55,4700.01,77.72,6745.85
1048576,40,178.7,5867.84,154.25,6797.89
2097152,20,310.4,6756.21,307.31,6824.21
4194304,10,577.24,7266.29,613.43,6837.45
8388608,5,1121.26,7481.55,1225.67,6844.09
16777216,2,2351.57,7134.65,2450.15,6847.41
33554432,1,5023.66,6679.47,4899.12,6849.08
67108864,1,9976.35,6727.37,9797.05,6849.91
134217728,1,19398.87,6919.03,19592.90,6850.32
268435456,1,37930.75,7077.1,39184.61,6850.53
