#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.45, 4267.43
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.44,0.0,0.45,0.00
1,1000,0.45,2.24,0.45,2.22
2,1000,0.45,4.48,0.45,4.44
4,1000,0.44,9.0,0.45,8.87
8,1000,0.45,17.96,0.45,17.70
16,1000,0.45,35.91,0.45,35.26
32,1000,0.49,65.55,0.46,69.95
64,1000,0.48,132.69,0.46,137.64
128,1000,0.59,217.05,0.48,266.67
256,1000,0.64,402.74,0.51,501.97
512,1000,0.95,539.1,0.57,898.28
1024,1000,0.99,1034.76,0.69,1484.15
2048,1000,1.14,1804.18,0.93,2202.35
4096,1000,1.57,2604.34,1.41,2905.32
8192,1000,2.08,3948.13,2.37,3457.04
16384,1000,3.62,4531.55,4.29,3819.73
32768,1000,5.3,6184.48,8.13,4031.19
65536,640,9.16,7156.0,15.81,4145.95
131072,320,15.36,8536.96,31.16,4205.81
262144,160,34.23,7661.53,61.88,4236.40
524288,80,64.99,8067.81,123.31,4251.86
1048576,40,130.28,8049.0,246.17,4259.63
2097152,20,256.84,8167.09,491.88,4263.53
4194304,10,528.28,7942.96,983.31,4265.48
8388608,5,1112.25,7550.41,1966.18,4266.45
16777216,2,2447.51,6858.03,3931.91,4266.94
33554432,1,7885.1,4255.46,7863.36,4267.19
67108864,1,15772.7,4254.8,15726.28,4267.31
134217728,1,31555.26,4253.42,31452.10,4267.37
268435456,1,62339.75,4306.03,62903.76,4267.40
