#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 1.22, 11616.42
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.17,0.0,1.22,0.00
1,1000,1.21,0.83,1.22,0.82
2,1000,1.21,1.66,1.22,1.64
4,1000,1.21,3.3,1.22,3.28
8,1000,1.25,6.4,1.22,6.55
16,1000,1.25,12.8,1.22,13.10
32,1000,1.25,25.63,1.22,26.17
64,1000,1.35,47.32,1.23,52.22
128,1000,1.9,67.17,1.23,103.98
256,1000,2.03,126.3,1.24,206.11
512,1000,2.2,232.59,1.26,405.04
1024,1000,2.45,418.26,1.31,782.78
2048,1000,2.89,708.18,1.40,1466.73
4096,1000,3.84,1065.29,1.57,2604.60
8192,1000,5.33,1536.87,1.93,4255.12
16384,1000,6.61,2479.81,2.63,6228.67
32768,1000,8.65,3789.88,4.04,8109.22
65536,640,11.67,5617.59,6.86,9551.03
131072,320,20.99,6245.25,12.50,10482.96
262144,160,31.67,8278.23,23.79,11020.62
524288,80,56.34,9306.53,46.35,11310.68
1048576,40,101.02,10379.7,91.49,11461.51
2097152,20,190.31,11019.82,181.75,11538.45
4194304,10,368.92,11369.03,362.29,11577.30
8388608,5,721.07,11633.53,723.35,11596.83
16777216,2,1429.65,11735.19,1445.49,11606.62
33554432,1,2855.82,11749.58,2889.75,11611.52
67108864,1,5719.04,11735.57,5778.29,11613.97
134217728,1,11718.42,11453.59,11555.36,11615.19
268435456,1,23287.71,11526.93,23109.50,11615.81
