#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -0.80, 11525.18
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.17,0.0,-0.80,-0.00
1,1000,1.21,0.83,-0.80,-1.25
2,1000,1.21,1.66,-0.80,-2.50
4,1000,1.21,3.3,-0.80,-5.00
8,1000,1.25,6.4,-0.80,-10.01
16,1000,1.25,12.8,-0.80,-20.05
32,1000,1.25,25.63,-0.80,-40.16
64,1000,1.35,47.32,-0.79,-80.60
128,1000,1.9,67.17,-0.79,-162.34
256,1000,2.03,126.3,-0.78,-329.32
512,1000,2.2,232.59,-0.76,-678.02
1024,1000,2.45,418.26,-0.71,-1440.79
2048,1000,2.89,708.18,-0.62,-3293.29
4096,1000,3.84,1065.29,-0.44,-9221.63
8192,1000,5.33,1536.87,-0.09,-92275.68
16384,1000,6.61,2479.81,0.62,26340.25
32768,1000,8.65,3789.88,2.04,16034.48
65536,640,11.67,5617.59,4.89,13410.93
131072,320,20.99,6245.25,10.57,12396.75
262144,160,31.67,8278.23,21.95,11945.09
524288,80,56.34,9306.53,44.69,11731.38
1048576,40,101.02,10379.7,90.18,11627.37
2097152,20,190.31,11019.82,181.16,11576.05
4194304,10,368.92,11369.03,363.13,11550.56
8388608,5,721.07,11633.53,727.05,11537.86
16777216,2,1429.65,11735.19,1454.90,11531.52
33554432,1,2855.82,11749.58,2910.60,11528.35
67108864,1,5719.04,11735.57,5822.00,11526.77
134217728,1,11718.42,11453.59,11644.80,11525.97
268435456,1,23287.71,11526.93,23290.41,11525.58
