#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 5.29, 4755.48
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,5.14,0.0,5.29,0.00
1,1000,5.27,0.19,5.29,0.19
2,1000,5.27,0.38,5.29,0.38
4,1000,5.29,0.76,5.29,0.76
8,1000,5.32,1.51,5.29,1.51
16,1000,5.32,3.01,5.29,3.02
32,1000,5.34,6.0,5.30,6.04
64,1000,5.36,11.97,5.30,12.07
128,1000,5.38,23.85,5.32,24.07
256,1000,5.42,47.29,5.34,47.91
512,1000,5.44,94.23,5.40,94.86
1024,1000,6.11,167.72,5.51,186.00
2048,1000,5.83,351.65,5.72,358.00
4096,1000,6.82,601.71,6.15,665.87
8192,1000,7.33,1118.1,7.01,1168.18
16384,1000,9.61,1707.67,8.74,1875.61
32768,1000,15.35,2137.43,12.18,2690.18
65536,640,31.72,2069.33,19.07,3436.39
131072,320,39.86,3291.9,32.85,3989.74
262144,160,56.6,4654.03,60.41,4339.08
524288,80,94.58,5553.58,115.54,4537.75
1048576,40,163.29,6439.44,225.79,4644.06
2097152,20,336.05,6253.89,446.29,4699.11
4194304,10,730.93,5749.07,887.28,4727.13
8388608,5,1701.44,4937.62,1769.28,4741.26
16777216,2,3554.16,4725.22,3533.27,4748.36
33554432,1,7093.71,4735.89,7061.24,4751.92
67108864,1,14148.3,4749.22,14117.19,4753.70
134217728,1,28236.34,4757.34,28229.09,4754.59
268435456,1,56206.11,4779.45,56452.89,4755.03
