#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -2.03, 4769.49
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,5.14,0.0,-2.03,-0.00
1,1000,5.27,0.19,-2.03,-0.49
2,1000,5.27,0.38,-2.03,-0.99
4,1000,5.29,0.76,-2.03,-1.97
8,1000,5.32,1.51,-2.03,-3.94
16,1000,5.32,3.01,-2.03,-7.90
32,1000,5.34,6.0,-2.02,-15.82
64,1000,5.36,11.97,-2.02,-31.74
128,1000,5.38,23.85,-2.00,-63.91
256,1000,5.42,47.29,-1.98,-129.55
512,1000,5.44,94.23,-1.92,-266.34
1024,1000,6.11,167.72,-1.81,-564.19
2048,1000,5.83,351.65,-1.60,-1279.77
4096,1000,6.82,601.71,-1.17,-3498.18
8192,1000,7.33,1118.1,-0.31,-26247.66
16384,1000,9.61,1707.67,1.41,11657.23
32768,1000,15.35,2137.43,4.84,6769.34
65536,640,31.72,2069.33,11.71,5596.11
131072,320,39.86,3291.9,25.45,5149.84
262144,160,56.6,4654.03,52.93,4952.37
524288,80,94.58,5553.58,107.90,4859.21
1048576,40,163.29,6439.44,217.82,4813.93
2097152,20,336.05,6253.89,437.67,4791.61
4194304,10,730.93,5749.07,877.37,4780.52
8388608,5,1701.44,4937.62,1756.78,4775.00
16777216,2,3554.16,4725.22,3515.58,4772.24
33554432,1,7093.71,4735.89,7033.19,4770.87
67108864,1,14148.3,4749.22,14068.42,4770.18
134217728,1,28236.34,4757.34,28138.87,4769.83
268435456,1,56206.11,4779.45,56279.76,4769.66
