#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 5.25, 4768.85
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,5.13,0.0,5.25,0.00
1,1000,5.25,0.19,5.25,0.19
2,1000,5.26,0.38,5.25,0.38
4,1000,5.24,0.76,5.25,0.76
8,1000,5.27,1.52,5.25,1.52
16,1000,5.31,3.01,5.25,3.05
32,1000,5.33,6.01,5.26,6.09
64,1000,5.41,11.86,5.26,12.16
128,1000,5.39,23.77,5.28,24.26
256,1000,5.44,47.1,5.30,48.27
512,1000,5.5,93.11,5.36,95.57
1024,1000,6.17,166.17,5.46,187.38
2048,1000,5.92,346.72,5.68,360.60
4096,1000,6.88,596.53,6.11,670.50
8192,1000,7.33,1118.84,6.97,1175.69
16384,1000,9.56,1716.36,8.69,1886.33
32768,1000,15.49,2118.28,12.12,2703.35
65536,640,31.9,2057.76,18.99,3450.62
131072,320,39.63,3311.74,32.74,4004.03
262144,160,55.56,4726.46,60.22,4353.10
524288,80,94.19,5574.15,115.19,4551.50
1048576,40,162.37,6468.49,225.13,4657.64
2097152,20,336.38,6242.86,445.01,4712.59
4194304,10,730.1,5759.28,884.77,4740.55
8388608,5,1691.36,4967.34,1764.29,4754.66
16777216,2,3515.11,4779.69,3523.33,4761.74
33554432,1,7086.99,4740.93,7041.42,4765.29
67108864,1,14084.4,4769.83,14077.59,4767.07
134217728,1,28296.92,4746.68,28149.92,4767.96
268435456,1,55796.75,4817.97,56294.60,4768.41
