#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 2.67, 4795.57
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,5.13,0.0,2.67,0.00
1,1000,5.25,0.19,2.67,0.37
2,1000,5.26,0.38,2.67,0.75
4,1000,5.24,0.76,2.67,1.50
8,1000,5.27,1.52,2.67,3.00
16,1000,5.31,3.01,2.67,5.99
32,1000,5.33,6.01,2.67,11.96
64,1000,5.41,11.86,2.68,23.87
128,1000,5.39,23.77,2.69,47.50
256,1000,5.44,47.1,2.72,94.07
512,1000,5.5,93.11,2.77,184.53
1024,1000,6.17,166.17,2.88,355.38
2048,1000,5.92,346.72,3.09,661.72
4096,1000,6.88,596.53,3.52,1162.97
8192,1000,7.33,1118.84,4.38,1871.97
16384,1000,9.56,1716.36,6.08,2692.80
32768,1000,15.49,2118.28,9.50,3448.95
65536,640,31.9,2057.76,16.33,4012.28
131072,320,39.63,3311.74,30.00,4369.10
262144,160,55.56,4726.46,57.33,4572.41
524288,80,94.19,5574.15,112.00,4681.33
1048576,40,162.37,6468.49,221.32,4737.76
2097152,20,336.38,6242.86,439.98,4766.49
4194304,10,730.1,5759.28,877.29,4780.98
8388608,5,1691.36,4967.34,1751.91,4788.26
16777216,2,3515.11,4779.69,3501.15,4791.91
33554432,1,7086.99,4740.93,6999.64,4793.74
67108864,1,14084.4,4769.83,13996.61,4794.65
134217728,1,28296.92,4746.68,27990.54,4795.11
268435456,1,55796.75,4817.97,55978.42,4795.34
