#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.28, 3979.28
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.27,0.0,0.28,0.00
1,1000,0.29,3.52,0.28,3.57
2,1000,0.28,7.1,0.28,7.13
4,1000,0.28,14.25,0.28,14.23
8,1000,0.28,28.53,0.28,28.37
16,1000,0.29,55.02,0.28,56.33
32,1000,0.29,108.88,0.29,111.10
64,1000,0.32,198.97,0.30,216.16
128,1000,0.38,340.25,0.31,410.04
256,1000,0.44,577.21,0.34,743.47
512,1000,0.58,876.99,0.41,1252.86
1024,1000,0.68,1516.73,0.54,1905.71
2048,1000,0.81,2533.97,0.79,2577.18
4096,1000,1.7,2403.92,1.31,3128.31
8192,1000,2.01,4073.63,2.34,3502.85
16384,1000,2.53,6484.15,4.40,3725.90
32768,1000,3.54,9266.54,8.51,3848.42
65536,640,5.44,12043.73,16.75,3912.76
131072,320,9.56,13741.45,33.22,3945.74
262144,160,19.79,13308.41,66.16,3962.44
524288,80,47.01,11203.82,132.03,3970.84
1048576,40,110.28,9515.59,263.79,3975.06
2097152,20,305.27,6949.15,527.30,3977.17
4194304,10,772.51,5445.89,1054.32,3978.22
8388608,5,1779.17,4716.5,2108.35,3978.75
16777216,2,4015.2,4178.58,4216.42,3979.02
33554432,1,8640.01,3883.62,8432.57,3979.15
67108864,1,17145.27,3914.18,16864.85,3979.21
134217728,1,33549.7,4000.58,33729.43,3979.25
268435456,1,65174.3,4118.74,67458.58,3979.26
