#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 4.92, 4084.51
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.27,0.0,4.92,0.00
1,1000,0.29,3.52,4.92,0.20
2,1000,0.28,7.1,4.92,0.41
4,1000,0.28,14.25,4.92,0.81
8,1000,0.28,28.53,4.93,1.62
16,1000,0.29,55.02,4.93,3.25
32,1000,0.29,108.88,4.93,6.49
64,1000,0.32,198.97,4.94,12.96
128,1000,0.38,340.25,4.96,25.83
256,1000,0.44,577.21,4.99,51.34
512,1000,0.58,876.99,5.05,101.40
1024,1000,0.68,1516.73,5.17,197.89
2048,1000,0.81,2533.97,5.43,377.48
4096,1000,1.7,2403.92,5.93,691.10
8192,1000,2.01,4073.63,6.93,1182.17
16384,1000,2.53,6484.15,8.94,1833.64
32768,1000,3.54,9266.54,12.95,2531.03
65536,640,5.44,12043.73,20.97,3125.38
131072,320,9.56,13741.45,37.01,3541.15
262144,160,19.79,13308.41,69.10,3793.47
524288,80,47.01,11203.82,133.28,3933.61
1048576,40,110.28,9515.59,261.64,4007.64
2097152,20,305.27,6949.15,518.36,4045.71
4194304,10,772.51,5445.89,1031.80,4065.02
8388608,5,1779.17,4716.5,2058.69,4074.74
16777216,2,4015.2,4178.58,4112.45,4079.62
33554432,1,8640.01,3883.62,8219.97,4082.06
67108864,1,17145.27,3914.18,16435.02,4083.28
134217728,1,33549.7,4000.58,32865.11,4083.90
268435456,1,65174.3,4118.74,65725.30,4084.20
