#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.21, 6154.86
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.22,0.0,0.21,0.00
1,1000,0.22,4.61,0.21,4.76
2,1000,0.21,9.3,0.21,9.51
4,1000,0.21,18.63,0.21,18.99
8,1000,0.21,37.45,0.21,37.86
16,1000,0.21,74.87,0.21,75.26
32,1000,0.25,129.26,0.22,148.70
64,1000,0.25,260.16,0.22,290.38
128,1000,0.35,364.52,0.23,554.60
256,1000,0.37,681.47,0.25,1017.52
512,1000,0.46,1121.31,0.29,1746.33
1024,1000,0.57,1803.02,0.38,2720.71
2048,1000,0.78,2634.78,0.54,3773.41
4096,1000,1.15,3567.82,0.88,4678.52
8192,1000,1.9,4308.91,1.54,5316.10
16384,1000,2.97,5516.98,2.87,5704.81
32768,1000,4.77,6866.06,5.53,5921.30
65536,640,8.12,8070.18,10.86,6035.82
131072,320,14.77,8878.02,21.51,6094.76
262144,160,15.08,17405.24,42.80,6124.66
524288,80,33.76,15602.69,85.39,6139.72
1048576,40,76.83,13653.28,170.58,6147.28
2097152,20,165.83,12654.28,340.94,6151.07
4194304,10,497.88,8437.92,681.67,6152.96
8388608,5,1177.31,7129.74,1363.13,6153.91
16777216,2,2590.87,6476.35,2726.06,6154.39
33554432,1,5424.72,6187.28,5451.91,6154.62
67108864,1,10911.84,6150.91,10903.60,6154.74
134217728,1,21897.6,6130.31,21807.00,6154.80
268435456,1,43647.69,6150.96,43613.79,6154.83
