#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -31.06, 6142.04
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.22,0.0,-31.06,-0.00
1,1000,0.22,4.61,-31.06,-0.03
2,1000,0.21,9.3,-31.06,-0.06
4,1000,0.21,18.63,-31.06,-0.13
8,1000,0.21,37.45,-31.06,-0.26
16,1000,0.21,74.87,-31.06,-0.52
32,1000,0.25,129.26,-31.06,-1.03
64,1000,0.25,260.16,-31.05,-2.06
128,1000,0.35,364.52,-31.04,-4.12
256,1000,0.37,681.47,-31.02,-8.25
512,1000,0.46,1121.31,-30.98,-16.53
1024,1000,0.57,1803.02,-30.90,-33.14
2048,1000,0.78,2634.78,-30.73,-66.65
4096,1000,1.15,3567.82,-30.40,-134.76
8192,1000,1.9,4308.91,-29.73,-275.56
16384,1000,2.97,5516.98,-28.40,-577.00
32768,1000,4.77,6866.06,-25.73,-1273.66
65536,640,8.12,8070.18,-20.39,-3213.73
131072,320,14.77,8878.02,-9.72,-13481.45
262144,160,15.08,17405.24,11.62,22564.08
524288,80,33.76,15602.69,54.30,9655.74
1048576,40,76.83,13653.28,139.66,7508.13
2097152,20,165.83,12654.28,310.38,6756.73
4194304,10,497.88,8437.92,651.82,6434.73
8388608,5,1177.31,7129.74,1334.71,6284.98
16777216,2,2590.87,6476.35,2700.48,6212.69
33554432,1,5424.72,6187.28,5432.02,6177.16
67108864,1,10911.84,6150.91,10895.10,6159.55
134217728,1,21897.6,6130.31,21821.26,6150.78
268435456,1,43647.69,6150.96,43673.58,6146.40
