#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 1.71, 11979.43
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.65,0.0,1.71,0.00
1,1000,1.7,0.59,1.71,0.58
2,1000,1.7,1.18,1.71,1.17
4,1000,1.7,2.36,1.71,2.34
8,1000,1.74,4.61,1.71,4.68
16,1000,1.74,9.21,1.71,9.35
32,1000,1.74,18.38,1.71,18.68
64,1000,1.81,35.4,1.72,37.31
128,1000,2.38,53.85,1.72,74.39
256,1000,2.5,102.31,1.73,147.86
512,1000,2.68,190.8,1.75,292.11
1024,1000,2.94,347.96,1.80,570.32
2048,1000,3.42,598.39,1.88,1088.81
4096,1000,4.39,932.24,2.05,1996.18
8192,1000,6.12,1338.41,2.39,3422.12
16384,1000,8.33,1967.75,3.08,5323.49
32768,1000,10.54,3110.4,4.45,7371.29
65536,640,13.59,4821.84,7.18,9126.67
131072,320,23.39,5602.97,12.65,10360.26
262144,160,34.35,7630.93,23.59,11111.17
524288,80,58.12,9020.62,45.48,11528.97
1048576,40,99.72,10516.85,89.24,11749.89
2097152,20,186.54,11242.0,176.77,11863.55
4194304,10,361.75,11594.46,351.84,11921.21
8388608,5,711.89,11783.61,701.96,11950.25
16777216,2,1409.73,11901.02,1402.21,11964.82
33554432,1,2809.02,11945.26,2802.71,11972.12
67108864,1,5602.01,11979.42,5603.72,11975.77
134217728,1,11190.48,11993.92,11205.73,11977.60
268435456,1,22371.27,11999.12,22409.74,11978.52
