#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 6.47, 12001.18
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.65,0.0,6.47,0.00
1,1000,1.7,0.59,6.47,0.15
2,1000,1.7,1.18,6.47,0.31
4,1000,1.7,2.36,6.47,0.62
8,1000,1.74,4.61,6.47,1.24
16,1000,1.74,9.21,6.47,2.47
32,1000,1.74,18.38,6.47,4.94
64,1000,1.81,35.4,6.48,9.88
128,1000,2.38,53.85,6.48,19.75
256,1000,2.5,102.31,6.49,39.43
512,1000,2.68,190.8,6.51,78.61
1024,1000,2.94,347.96,6.56,156.20
2048,1000,3.42,598.39,6.64,308.38
4096,1000,4.39,932.24,6.81,601.31
8192,1000,6.12,1338.41,7.15,1145.24
16384,1000,8.33,1967.75,7.84,2090.94
32768,1000,10.54,3110.4,9.20,3561.39
65536,640,13.59,4821.84,11.93,5492.78
131072,320,23.39,5602.97,17.39,7536.30
262144,160,34.35,7630.93,28.31,9258.57
524288,80,58.12,9020.62,50.16,10452.97
1048576,40,99.72,10516.85,93.84,11173.70
2097152,20,186.54,11242.0,181.22,11572.67
4194304,10,361.75,11594.46,355.96,11783.03
8388608,5,711.89,11783.61,705.45,11891.11
16777216,2,1409.73,11901.02,1404.43,11945.89
33554432,1,2809.02,11945.26,2802.40,11973.48
67108864,1,5602.01,11979.42,5598.32,11987.31
134217728,1,11190.48,11993.92,11190.18,11994.25
268435456,1,22371.27,11999.12,22373.88,11997.71
