#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 15.85, 1828.23
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,15.87,0.0,15.85,0.00
1,1000,15.86,0.06,15.85,0.06
2,1000,15.83,0.13,15.85,0.13
4,1000,15.83,0.25,15.85,0.25
8,1000,15.87,0.5,15.85,0.50
16,1000,15.97,1.0,15.86,1.01
32,1000,16.02,2.0,15.87,2.02
64,1000,16.16,3.96,15.89,4.03
128,1000,16.64,7.69,15.92,8.04
256,1000,16.62,15.41,15.99,16.01
512,1000,16.79,30.5,16.13,31.74
1024,1000,17.29,59.22,16.41,62.40
2048,1000,39.11,52.37,16.97,120.68
4096,1000,39.46,103.8,18.09,226.42
8192,1000,40.52,202.18,20.33,402.93
16384,1000,42.55,385.08,24.81,660.33
32768,1000,51.51,637.08,33.77,970.23
65536,640,150.34,436.38,51.70,1267.70
131072,320,170.57,770.51,87.54,1497.22
262144,160,234.58,1127.41,159.24,1646.25
524288,80,349.04,1515.95,302.62,1732.48
1048576,40,564.45,1878.25,589.40,1779.07
2097152,20,1063.25,2006.45,1162.94,1803.31
4194304,10,2297.12,1868.61,2310.04,1815.69
8388608,5,4797.11,1781.08,4604.23,1821.94
16777216,2,9442.18,1800.99,9192.60,1825.08
33554432,1,18759.79,1809.58,18369.36,1826.65
67108864,1,37508.81,1812.0,36722.86,1827.44
134217728,1,73741.56,1841.45,73429.88,1827.84
268435456,1,146746.59,1849.89,146843.91,1828.03
