#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 75.66, 1826.32
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,15.87,0.0,75.66,0.00
1,1000,15.86,0.06,75.66,0.01
2,1000,15.83,0.13,75.66,0.03
4,1000,15.83,0.25,75.66,0.05
8,1000,15.87,0.5,75.66,0.11
16,1000,15.97,1.0,75.67,0.21
32,1000,16.02,2.0,75.67,0.42
64,1000,16.16,3.96,75.69,0.85
128,1000,16.64,7.69,75.73,1.69
256,1000,16.62,15.41,75.80,3.38
512,1000,16.79,30.5,75.94,6.74
1024,1000,17.29,59.22,76.22,13.44
2048,1000,39.11,52.37,76.78,26.67
4096,1000,39.46,103.8,77.90,52.58
8192,1000,40.52,202.18,80.14,102.22
16384,1000,42.55,385.08,84.63,193.60
32768,1000,51.51,637.08,93.60,350.09
65536,640,150.34,436.38,111.54,587.55
131072,320,170.57,770.51,147.43,889.07
262144,160,234.58,1127.41,219.19,1195.95
524288,80,349.04,1515.95,362.73,1445.39
1048576,40,564.45,1878.25,649.80,1613.68
2097152,20,1063.25,2006.45,1223.95,1713.43
4194304,10,2297.12,1868.61,2372.25,1768.07
8388608,5,4797.11,1781.08,4668.84,1796.72
16777216,2,9442.18,1800.99,9262.02,1811.40
33554432,1,18759.79,1809.58,18448.38,1818.83
67108864,1,37508.81,1812.0,36821.11,1822.57
134217728,1,73741.56,1841.45,73566.55,1824.44
268435456,1,146746.59,1849.89,147057.45,1825.38
