#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 12.65, 2155.25
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,13.06,0.0,12.65,0.00
1,1000,12.79,0.08,12.65,0.08
2,1000,12.64,0.16,12.65,0.16
4,1000,12.65,0.32,12.65,0.32
8,1000,12.52,0.64,12.65,0.63
16,1000,12.53,1.28,12.66,1.26
32,1000,12.54,2.57,12.66,2.53
64,1000,12.19,5.32,12.68,5.05
128,1000,12.21,10.62,12.71,10.07
256,1000,12.42,20.93,12.77,20.05
512,1000,12.14,42.45,12.89,39.73
1024,1000,12.58,81.87,13.13,78.02
2048,1000,14.92,137.67,13.60,150.59
4096,1000,16.2,253.34,14.55,281.50
8192,1000,18.5,443.18,16.45,497.97
16384,1000,23.91,685.7,20.25,809.01
32768,1000,38.34,854.88,27.85,1176.43
65536,640,82.56,793.99,43.06,1522.05
131072,320,124.13,1056.76,73.47,1784.14
262144,160,221.68,1183.04,134.28,1952.21
524288,80,325.04,1613.32,255.91,2048.71
1048576,40,532.22,1970.47,499.17,2100.63
2097152,20,963.4,2177.31,985.69,2127.59
4194304,10,1891.85,2218.34,1958.74,2141.33
8388608,5,3884.55,2159.92,3904.82,2148.27
16777216,2,7921.24,2119.09,7797.00,2151.75
33554432,1,15804.28,2123.84,15581.35,2153.50
67108864,1,31132.47,2156.73,31150.04,2154.37
134217728,1,61808.3,2172.49,62287.43,2154.81
268435456,1,123854.76,2167.95,124562.22,2155.03
