#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 38.79, 2167.91
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,13.06,0.0,38.79,0.00
1,1000,12.79,0.08,38.79,0.03
2,1000,12.64,0.16,38.79,0.05
4,1000,12.65,0.32,38.79,0.10
8,1000,12.52,0.64,38.80,0.21
16,1000,12.53,1.28,38.80,0.41
32,1000,12.54,2.57,38.81,0.82
64,1000,12.19,5.32,38.82,1.65
128,1000,12.21,10.62,38.85,3.29
256,1000,12.42,20.93,38.91,6.58
512,1000,12.14,42.45,39.03,13.12
1024,1000,12.58,81.87,39.27,26.08
2048,1000,14.92,137.67,39.74,51.54
4096,1000,16.2,253.34,40.68,100.68
8192,1000,18.5,443.18,42.57,192.43
16384,1000,23.91,685.7,46.35,353.48
32768,1000,38.34,854.88,53.91,607.85
65536,640,82.56,793.99,69.02,949.48
131072,320,124.13,1056.76,99.25,1320.58
262144,160,221.68,1183.04,159.71,1641.34
524288,80,325.04,1613.32,280.63,1868.23
1048576,40,532.22,1970.47,522.47,2006.94
2097152,20,963.4,2177.31,1006.16,2084.32
4194304,10,1891.85,2218.34,1973.52,2125.29
8388608,5,3884.55,2159.92,3908.24,2146.39
16777216,2,7921.24,2119.09,7777.69,2157.09
33554432,1,15804.28,2123.84,15516.59,2162.49
67108864,1,31132.47,2156.73,30994.40,2165.19
134217728,1,61808.3,2172.49,61950.00,2166.55
268435456,1,123854.76,2167.95,123861.21,2167.23
