#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 1.36, 12173.22
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.37,0.0,1.36,0.00
1,1000,1.36,0.73,1.36,0.74
2,1000,1.36,1.47,1.36,1.47
4,1000,1.36,2.94,1.36,2.94
8,1000,1.36,5.87,1.36,5.88
16,1000,1.37,11.71,1.36,11.75
32,1000,1.4,22.91,1.36,23.48
64,1000,1.7,37.64,1.37,46.88
128,1000,1.74,73.5,1.37,93.40
256,1000,2.15,122.46,1.38,185.37
512,1000,2.08,246.6,1.40,365.18
1024,1000,2.33,438.92,1.44,709.08
2048,1000,2.99,685.42,1.53,1340.11
4096,1000,3.92,1043.43,1.70,2414.42
8192,1000,5.51,1487.2,2.03,4029.61
16384,1000,7.29,2248.68,2.71,6054.91
32768,1000,10.07,3253.47,4.05,8087.25
65536,640,14.51,4515.65,6.74,9718.22
131072,320,23.58,5557.61,12.13,10808.06
262144,160,33.4,7849.81,22.89,11450.09
524288,80,56.18,9334.96,44.43,11800.59
1048576,40,98.84,10608.53,87.50,11984.01
2097152,20,185.07,11331.87,173.64,12077.87
4194304,10,354.87,11819.11,345.91,12125.36
8388608,5,697.38,12028.74,690.46,12149.24
16777216,2,1382.79,12132.91,1379.57,12161.22
33554432,1,2761.35,12151.46,2757.77,12167.22
67108864,1,5503.89,12192.99,5514.19,12170.22
134217728,1,11021.56,12177.74,11027.02,12171.72
268435456,1,22055.87,12170.7,22052.67,12172.47
