#header_line 1: mpirun -np 2 --map-by ppr:1:node --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode003]
#header_line 3: 4.94, 12176.57
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.37,0.0,4.94,0.00
1,1000,1.36,0.73,4.94,0.20
2,1000,1.36,1.47,4.94,0.40
4,1000,1.36,2.94,4.94,0.81
8,1000,1.36,5.87,4.94,1.62
16,1000,1.37,11.71,4.94,3.24
32,1000,1.4,22.91,4.94,6.48
64,1000,1.7,37.64,4.94,12.95
128,1000,1.74,73.5,4.95,25.87
256,1000,2.15,122.46,4.96,51.62
512,1000,2.08,246.6,4.98,102.81
1024,1000,2.33,438.92,5.02,203.89
2048,1000,2.99,685.42,5.11,401.06
4096,1000,3.92,1043.43,5.27,776.55
8192,1000,5.51,1487.2,5.61,1459.98
16384,1000,7.29,2248.68,6.28,2607.35
32768,1000,10.07,3253.47,7.63,4295.01
65536,640,14.51,4515.65,10.32,6350.15
131072,320,23.58,5557.61,15.70,8347.19
262144,160,33.4,7849.81,26.47,9904.63
524288,80,56.18,9334.96,48.00,10923.72
1048576,40,98.84,10608.53,91.05,11516.17
2097152,20,185.07,11331.87,177.17,11837.16
4194304,10,354.87,11819.11,349.40,12004.47
8388608,5,697.38,12028.74,693.85,12089.90
16777216,2,1382.79,12132.91,1382.77,12133.08
33554432,1,2761.35,12151.46,2760.59,12154.78
67108864,1,5503.89,12192.99,5516.25,12165.67
134217728,1,11021.56,12177.74,11027.56,12171.11
268435456,1,22055.87,12170.7,22050.19,12173.84
