#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 1.10, 11643.75
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,1.05,0.0,1.10,0.00
1,1000,1.1,0.91,1.10,0.91
2,1000,1.1,1.82,1.10,1.82
4,1000,1.09,3.67,1.10,3.64
8,1000,1.12,7.13,1.10,7.27
16,1000,1.12,14.24,1.10,14.53
32,1000,1.12,28.43,1.10,29.02
64,1000,1.18,53.96,1.11,57.89
128,1000,1.68,76.23,1.11,115.21
256,1000,1.78,144.07,1.12,228.17
512,1000,1.9,269.49,1.14,447.56
1024,1000,2.12,483.52,1.19,861.99
2048,1000,2.53,807.88,1.28,1605.16
4096,1000,3.46,1182.89,1.45,2821.37
8192,1000,4.8,1706.46,1.80,4542.14
16384,1000,6.4,2561.9,2.51,6535.02
32768,1000,8.45,3880.11,3.91,8371.54
65536,640,11.44,5729.49,6.73,9740.17
131072,320,20.75,6315.99,12.36,10607.23
262144,160,31.38,8354.21,23.61,11101.35
524288,80,55.69,9414.62,46.13,11366.08
1048576,40,99.54,10533.8,91.15,11503.24
2097152,20,186.95,11217.59,181.21,11573.07
4194304,10,363.34,11543.91,361.32,11608.30
8388608,5,716.96,11700.2,721.54,11626.00
16777216,2,1424.1,11780.94,1441.98,11634.87
33554432,1,2841.99,11806.7,2882.85,11639.31
67108864,1,5718.64,11736.88,5764.61,11641.53
134217728,1,11701.9,11469.74,11528.12,11642.64
268435456,1,23217.71,11561.68,23055.14,11643.19
