#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl openib,self --mca btl_openib_allow_ib 1 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -0.99, 11555.07
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.05,0.0,-0.99,-0.00
1,1000,1.1,0.91,-0.99,-1.02
2,1000,1.1,1.82,-0.99,-2.03
4,1000,1.09,3.67,-0.98,-4.06
8,1000,1.12,7.13,-0.98,-8.13
16,1000,1.12,14.24,-0.98,-16.26
32,1000,1.12,28.43,-0.98,-32.57
64,1000,1.18,53.96,-0.98,-65.33
128,1000,1.68,76.23,-0.97,-131.40
256,1000,1.78,144.07,-0.96,-265.82
512,1000,1.9,269.49,-0.94,-544.16
1024,1000,2.12,483.52,-0.90,-1142.10
2048,1000,2.53,807.88,-0.81,-2534.73
4096,1000,3.46,1182.89,-0.63,-6494.00
8192,1000,4.8,1706.46,-0.28,-29653.24
16384,1000,6.4,2561.9,0.43,37865.17
32768,1000,8.45,3880.11,1.85,17706.70
65536,640,11.44,5729.49,4.69,13984.26
131072,320,20.75,6315.99,10.36,12654.14
262144,160,31.38,8354.21,21.70,12079.65
524288,80,55.69,9414.62,44.39,11811.54
1048576,40,99.54,10533.8,89.76,11681.90
2097152,20,186.95,11217.59,180.51,11618.14
4194304,10,363.34,11543.91,362.00,11586.52
8388608,5,716.96,11700.2,724.98,11570.77
16777216,2,1424.1,11780.94,1450.95,11562.91
33554432,1,2841.99,11806.7,2902.89,11558.99
67108864,1,5718.64,11736.88,5806.76,11557.03
134217728,1,11701.9,11469.74,11614.50,11556.05
268435456,1,23217.71,11561.68,23229.99,11555.56
