#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 19.49, 2943.29
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,9.01,0.0,19.49,0.00
1,1000,9.18,0.11,19.49,0.05
2,1000,9.33,0.21,19.49,0.10
4,1000,9.17,0.44,19.49,0.21
8,1000,9.18,0.87,19.49,0.41
16,1000,9.2,1.74,19.50,0.82
32,1000,9.22,3.47,19.50,1.64
64,1000,9.27,6.91,19.51,3.28
128,1000,9.57,13.38,19.53,6.55
256,1000,9.59,26.71,19.58,13.08
512,1000,9.75,52.58,19.66,26.04
1024,1000,10.86,94.38,19.84,51.62
2048,1000,10.18,201.28,20.19,101.46
4096,1000,12.13,337.76,20.88,196.15
8192,1000,13.05,628.01,22.27,367.80
16384,1000,17.73,924.42,25.06,653.88
32768,1000,28.63,1145.09,30.62,1070.05
65536,640,66.15,991.03,41.76,1569.50
131072,320,88.34,1485.15,64.02,2047.29
262144,160,125.34,2092.46,108.55,2414.86
524288,80,198.91,2637.31,197.62,2653.02
1048576,40,352.21,2979.31,375.75,2790.63
2097152,20,677.12,3098.86,732.01,2864.93
4194304,10,1399.18,3000.91,1444.53,2903.58
8388608,5,2802.8,2993.83,2869.56,2923.30
16777216,2,5768.66,2909.51,5719.64,2933.27
33554432,1,11658.96,2880.01,11419.79,2938.27
67108864,1,22690.12,2959.29,22820.08,2940.78
134217728,1,45863.18,2927.97,45620.68,2942.04
268435456,1,91103.42,2947.28,91221.86,2942.67
