#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 9.00, 2975.03
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,8.89,0.0,9.00,0.00
1,1000,9.01,0.11,9.00,0.11
2,1000,9.0,0.22,9.00,0.22
4,1000,9.0,0.45,9.00,0.44
8,1000,9.01,0.89,9.00,0.89
16,1000,8.99,1.78,9.01,1.78
32,1000,9.02,3.55,9.01,3.55
64,1000,9.04,7.08,9.02,7.09
128,1000,9.3,13.76,9.04,14.15
256,1000,9.36,27.35,9.09,28.18
512,1000,9.42,54.37,9.17,55.82
1024,1000,10.63,96.35,9.34,109.59
2048,1000,10.0,204.86,9.69,211.39
4096,1000,11.93,343.36,10.38,394.73
8192,1000,12.77,641.43,11.75,696.98
16384,1000,17.39,942.44,14.51,1129.37
32768,1000,27.97,1171.52,20.01,1637.23
65536,640,64.73,1012.65,31.03,2112.11
131072,320,87.48,1499.08,53.06,2470.38
262144,160,121.95,2151.35,97.11,2699.32
524288,80,195.79,2679.03,185.23,2830.48
1048576,40,346.05,3032.31,361.46,2900.95
2097152,20,667.76,3142.15,713.92,2937.53
4194304,10,1382.47,3035.01,1418.84,2956.16
8388608,5,2792.67,3007.26,2828.67,2965.56
16777216,2,5736.39,2926.02,5648.34,2970.29
33554432,1,11333.97,2961.58,11287.69,2972.66
67108864,1,22447.02,2990.43,22566.37,2973.84
134217728,1,44980.49,2984.94,45123.75,2974.44
268435456,1,90629.96,2963.15,90238.50,2974.73
