#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include ib0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 1.58, 2967.28
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,8.89,0.0,1.58,0.00
1,1000,9.01,0.11,1.58,0.63
2,1000,9.0,0.22,1.58,1.27
4,1000,9.0,0.45,1.58,2.53
8,1000,9.01,0.89,1.58,5.06
16,1000,8.99,1.78,1.58,10.10
32,1000,9.02,3.55,1.59,20.14
64,1000,9.04,7.08,1.60,40.01
128,1000,9.3,13.76,1.62,78.96
256,1000,9.36,27.35,1.66,153.82
512,1000,9.42,54.37,1.75,292.48
1024,1000,10.63,96.35,1.92,532.48
2048,1000,10.0,204.86,2.27,902.93
4096,1000,11.93,343.36,2.96,1384.55
8192,1000,12.77,641.43,4.34,1888.10
16384,1000,17.39,942.44,7.10,2307.76
32768,1000,27.97,1171.52,12.62,2596.29
65536,640,64.73,1012.65,23.66,2769.42
131072,320,87.48,1499.08,45.75,2864.94
262144,160,121.95,2151.35,89.92,2915.21
524288,80,195.79,2679.03,178.27,2941.02
1048576,40,346.05,3032.31,354.96,2954.09
2097152,20,667.76,3142.15,708.34,2960.67
4194304,10,1382.47,3035.01,1415.09,2963.97
8388608,5,2792.67,3007.26,2828.61,2965.63
16777216,2,5736.39,2926.02,5655.64,2966.46
33554432,1,11333.97,2961.58,11309.71,2966.87
67108864,1,22447.02,2990.43,22617.84,2967.08
134217728,1,44980.49,2984.94,45234.11,2967.18
268435456,1,90629.96,2963.15,90466.64,2967.23
