#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.57, 3174.55
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.55,0.0,0.57,0.00
1,1000,0.57,1.74,0.57,1.75
2,1000,0.57,3.49,0.57,3.50
4,1000,0.58,6.95,0.57,7.00
8,1000,0.57,14.0,0.57,13.97
16,1000,0.61,26.02,0.58,27.82
32,1000,0.7,45.62,0.58,55.16
64,1000,0.76,84.04,0.59,108.45
128,1000,0.97,132.66,0.61,209.73
256,1000,1.09,234.5,0.65,393.46
512,1000,1.24,413.45,0.73,700.14
1024,1000,1.45,707.52,0.89,1147.25
2048,1000,1.7,1205.94,1.22,1685.42
4096,1000,2.73,1504.0,1.86,2201.84
8192,1000,3.06,2682.65,3.15,2600.20
16384,1000,3.67,4475.7,5.73,2858.81
32768,1000,4.6,7143.59,10.89,3008.42
65536,640,6.58,9967.14,21.21,3089.25
131072,320,10.74,12272.98,41.86,3131.32
262144,160,20.89,12620.49,83.15,3152.79
524288,80,47.45,11095.58,165.72,3163.63
1048576,40,106.76,9827.15,330.88,3169.08
2097152,20,235.11,8921.56,661.18,3171.81
4194304,10,569.83,7375.26,1321.80,3173.18
8388608,5,1420.93,5917.53,2643.03,3173.87
16777216,2,4345.15,3861.56,5285.48,3174.21
33554432,1,10495.63,3197.27,10570.39,3174.38
67108864,1,21514.49,3119.31,21140.22,3174.46
134217728,1,42868.27,3130.95,42279.86,3174.51
268435456,1,82578.28,3250.69,84559.15,3174.53
