#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -85.18, 3218.63
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.55,0.0,-85.18,-0.00
1,1000,0.57,1.74,-85.18,-0.01
2,1000,0.57,3.49,-85.18,-0.02
4,1000,0.58,6.95,-85.18,-0.05
8,1000,0.57,14.0,-85.18,-0.09
16,1000,0.61,26.02,-85.17,-0.19
32,1000,0.7,45.62,-85.17,-0.38
64,1000,0.76,84.04,-85.16,-0.75
128,1000,0.97,132.66,-85.14,-1.50
256,1000,1.09,234.5,-85.10,-3.01
512,1000,1.24,413.45,-85.02,-6.02
1024,1000,1.45,707.52,-84.86,-12.07
2048,1000,1.7,1205.94,-84.54,-24.22
4096,1000,2.73,1504.0,-83.91,-48.82
8192,1000,3.06,2682.65,-82.63,-99.14
16384,1000,3.67,4475.7,-80.09,-204.57
32768,1000,4.6,7143.59,-75.00,-436.92
65536,640,6.58,9967.14,-64.82,-1011.08
131072,320,10.74,12272.98,-44.46,-2948.33
262144,160,20.89,12620.49,-3.73,-70215.38
524288,80,47.45,11095.58,77.71,6746.52
1048576,40,106.76,9827.15,240.60,4358.10
2097152,20,235.11,8921.56,566.39,3702.68
4194304,10,569.83,7375.26,1217.95,3443.73
8388608,5,1420.93,5917.53,2521.08,3327.38
16777216,2,4345.15,3861.56,5127.35,3272.10
33554432,1,10495.63,3197.27,10339.88,3245.15
67108864,1,21514.49,3119.31,20764.93,3231.84
134217728,1,42868.27,3130.95,41615.05,3225.22
268435456,1,82578.28,3250.69,83315.27,3221.92
