#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.42, 5006.72
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.43,0.0,0.42,0.00
1,1000,0.43,2.35,0.42,2.38
2,1000,0.42,4.75,0.42,4.76
4,1000,0.42,9.48,0.42,9.51
8,1000,0.42,19.01,0.42,18.98
16,1000,0.42,38.25,0.42,37.81
32,1000,0.57,56.1,0.43,75.05
64,1000,0.58,109.8,0.43,147.88
128,1000,1.07,119.58,0.45,287.28
256,1000,1.09,234.6,0.47,543.37
512,1000,1.19,431.12,0.52,980.35
1024,1000,1.46,703.77,0.62,1639.65
2048,1000,2.07,989.3,0.83,2470.30
4096,1000,2.81,1456.58,1.24,3308.29
8192,1000,4.33,1891.48,2.06,3984.05
16384,1000,6.6,2484.92,3.69,4437.22
32768,1000,10.97,2987.54,6.96,4704.80
65536,640,19.57,3350.24,13.51,4851.07
131072,320,36.58,3583.99,26.60,4927.66
262144,160,14.97,17515.65,52.78,4966.88
524288,80,31.61,16643.44,105.14,4986.72
1048576,40,70.0,14983.15,209.85,4996.70
2097152,20,158.27,13252.64,419.29,5001.70
4194304,10,430.78,9748.95,838.15,5004.21
8388608,5,1106.02,7592.83,1675.89,5005.47
16777216,2,2602.89,6446.87,3351.36,5006.09
33554432,1,6708.86,5001.88,6702.30,5006.41
67108864,1,13495.93,4972.58,13404.18,5006.56
134217728,1,27029.12,4965.81,26807.94,5006.64
268435456,1,52773.24,5086.6,53615.45,5006.68
