#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ucx --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -57.25, 5053.82
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.43,0.0,-57.25,-0.00
1,1000,0.43,2.35,-57.25,-0.02
2,1000,0.42,4.75,-57.25,-0.03
4,1000,0.42,9.48,-57.25,-0.07
8,1000,0.42,19.01,-57.25,-0.14
16,1000,0.42,38.25,-57.25,-0.28
32,1000,0.57,56.1,-57.25,-0.56
64,1000,0.58,109.8,-57.24,-1.12
128,1000,1.07,119.58,-57.23,-2.24
256,1000,1.09,234.6,-57.20,-4.48
512,1000,1.19,431.12,-57.15,-8.96
1024,1000,1.46,703.77,-57.05,-17.95
2048,1000,2.07,989.3,-56.85,-36.03
4096,1000,2.81,1456.58,-56.44,-72.57
8192,1000,4.33,1891.48,-55.63,-147.25
16384,1000,6.6,2484.92,-54.01,-303.34
32768,1000,10.97,2987.54,-50.77,-645.43
65536,640,19.57,3350.24,-44.29,-1479.84
131072,320,36.58,3583.99,-31.32,-4185.17
262144,160,14.97,17515.65,-5.38,-48698.69
524288,80,31.61,16643.44,46.49,11278.04
1048576,40,70.0,14983.15,150.23,6979.88
2097152,20,158.27,13252.64,357.71,5862.71
4194304,10,430.78,9748.95,772.67,5428.30
8388608,5,1106.02,7592.83,1602.60,5234.37
16777216,2,2602.89,6446.87,3262.46,5142.51
33554432,1,6708.86,5001.88,6582.17,5097.78
67108864,1,13495.93,4972.58,13221.59,5075.70
134217728,1,27029.12,4965.81,26500.43,5064.74
268435456,1,52773.24,5086.6,53058.11,5059.27
