#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -43.45, 6013.79
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.25,0.0,-43.45,-0.00
1,1000,0.25,4.04,-43.45,-0.02
2,1000,0.25,8.15,-43.45,-0.05
4,1000,0.25,16.28,-43.45,-0.09
8,1000,0.25,32.52,-43.45,-0.18
16,1000,0.25,65.17,-43.45,-0.37
32,1000,0.29,110.07,-43.45,-0.74
64,1000,0.29,221.62,-43.44,-1.47
128,1000,0.38,338.75,-43.43,-2.95
256,1000,0.43,598.76,-43.41,-5.90
512,1000,0.46,1118.39,-43.37,-11.81
1024,1000,0.59,1727.07,-43.28,-23.66
2048,1000,0.83,2473.52,-43.11,-47.51
4096,1000,1.21,3381.84,-42.77,-95.77
8192,1000,1.99,4111.0,-42.09,-194.64
16384,1000,3.67,4469.04,-40.73,-402.29
32768,1000,4.44,7376.15,-38.00,-862.27
65536,640,6.07,10798.13,-32.55,-2013.18
131072,320,8.59,15262.71,-21.66,-6052.51
262144,160,12.36,21206.88,0.14,1880491.39
524288,80,24.9,21085.45,43.73,11989.25
1048576,40,50.81,20644.61,130.91,8009.85
2097152,20,135.5,15477.63,305.27,6869.77
4194304,10,313.74,13370.69,654.00,6413.35
8388608,5,947.63,8852.65,1351.44,6207.15
16777216,2,2498.71,6714.46,2746.34,6108.94
33554432,1,5636.81,5952.84,5536.13,6061.00
67108864,1,11145.14,6021.42,11115.70,6037.30
134217728,1,22855.34,5872.55,22274.86,6025.53
268435456,1,44318.02,6057.07,44593.16,6019.65
