#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.23, 5462.75
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.22,0.0,0.23,0.00
1,1000,0.23,4.4,0.23,4.34
2,1000,0.23,8.85,0.23,8.68
4,1000,0.23,17.57,0.23,17.34
8,1000,0.23,35.18,0.23,34.56
16,1000,0.23,70.18,0.23,68.69
32,1000,0.24,131.74,0.24,135.67
64,1000,0.24,263.14,0.24,264.77
128,1000,0.26,493.96,0.25,505.07
256,1000,0.28,907.7,0.28,924.65
512,1000,0.43,1182.27,0.32,1581.59
1024,1000,0.45,2294.96,0.42,2452.98
2048,1000,0.59,3489.26,0.60,3385.67
4096,1000,0.85,4833.68,0.98,4180.42
8192,1000,1.47,5570.6,1.73,4736.33
16384,1000,2.39,6841.44,3.23,5073.67
32768,1000,3.59,9124.84,6.23,5261.03
65536,640,5.81,11279.93,12.23,5359.99
131072,320,8.95,14654.21,24.22,5410.88
262144,160,15.69,16707.72,48.22,5436.69
524288,80,41.32,12690.56,96.21,5449.69
1048576,40,84.76,12371.16,192.18,5456.21
2097152,20,165.44,12676.7,384.13,5459.48
4194304,10,425.94,9848.25,768.03,5461.11
8388608,5,1164.86,7203.89,1535.83,5461.93
16777216,2,2601.22,6451.4,3071.43,5462.34
33554432,1,6084.5,5514.75,6142.64,5462.55
67108864,1,12138.23,5528.74,12285.04,5462.65
134217728,1,24414.92,5497.38,24569.86,5462.70
268435456,1,50551.56,5310.14,49139.48,5462.72
