#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -89.88, 5346.69
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.22,0.0,-89.88,-0.00
1,1000,0.23,4.4,-89.88,-0.01
2,1000,0.23,8.85,-89.88,-0.02
4,1000,0.23,17.57,-89.88,-0.04
8,1000,0.23,35.18,-89.88,-0.09
16,1000,0.23,70.18,-89.88,-0.18
32,1000,0.24,131.74,-89.88,-0.36
64,1000,0.24,263.14,-89.87,-0.71
128,1000,0.26,493.96,-89.86,-1.42
256,1000,0.28,907.7,-89.84,-2.85
512,1000,0.43,1182.27,-89.79,-5.70
1024,1000,0.45,2294.96,-89.69,-11.42
2048,1000,0.59,3489.26,-89.50,-22.88
4096,1000,0.85,4833.68,-89.12,-45.96
8192,1000,1.47,5570.6,-88.35,-92.72
16384,1000,2.39,6841.44,-86.82,-188.71
32768,1000,3.59,9124.84,-83.76,-391.23
65536,640,5.81,11279.93,-77.63,-844.24
131072,320,8.95,14654.21,-65.37,-2005.07
262144,160,15.69,16707.72,-40.86,-6416.37
524288,80,41.32,12690.56,8.17,64143.13
1048576,40,84.76,12371.16,106.23,9870.60
2097152,20,165.44,12676.7,302.35,6936.19
4194304,10,425.94,9848.25,694.58,6038.59
8388608,5,1164.86,7203.89,1479.05,5671.61
16777216,2,2601.22,6451.4,3047.99,5504.36
33554432,1,6084.5,5514.75,6185.86,5424.38
67108864,1,12138.23,5528.74,12461.60,5385.25
134217728,1,24414.92,5497.38,25013.09,5365.90
268435456,1,50551.56,5310.14,50116.07,5356.28
