#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 4.81, 5215.70
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,4.77,0.0,4.81,0.00
1,1000,4.82,0.21,4.81,0.21
2,1000,4.81,0.42,4.81,0.42
4,1000,4.8,0.83,4.81,0.83
8,1000,4.81,1.66,4.81,1.66
16,1000,4.81,3.33,4.81,3.32
32,1000,4.81,6.66,4.82,6.64
64,1000,4.83,13.26,4.82,13.27
128,1000,4.84,26.45,4.83,26.48
256,1000,4.88,52.5,4.86,52.68
512,1000,6.52,78.55,4.91,104.32
1024,1000,6.65,154.04,5.01,204.54
2048,1000,6.91,296.54,5.20,393.64
4096,1000,7.65,535.54,5.60,732.04
8192,1000,8.35,981.39,6.38,1283.88
16384,1000,14.84,1103.96,7.95,2060.55
32768,1000,22.16,1478.68,11.09,2954.05
65536,640,39.64,1653.24,17.38,3771.83
131072,320,74.44,1760.79,29.94,4377.78
262144,160,53.52,4899.08,55.07,4760.15
524288,80,88.58,5919.12,105.33,4977.52
1048576,40,151.58,6917.55,205.85,5093.83
2097152,20,275.61,7609.1,406.89,5154.04
4194304,10,605.39,6928.43,808.98,5184.69
8388608,5,1453.6,5771.1,1613.15,5200.15
16777216,2,3174.56,5284.93,3221.49,5207.91
33554432,1,6460.38,5193.97,6438.16,5211.80
67108864,1,12893.71,5204.9,12871.51,5213.75
134217728,1,25693.67,5223.87,25738.22,5214.73
268435456,1,51227.91,5240.07,51471.62,5215.21
