#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -8.49, 5234.27
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,4.77,0.0,-8.49,-0.00
1,1000,4.82,0.21,-8.49,-0.12
2,1000,4.81,0.42,-8.49,-0.24
4,1000,4.8,0.83,-8.49,-0.47
8,1000,4.81,1.66,-8.49,-0.94
16,1000,4.81,3.33,-8.49,-1.89
32,1000,4.81,6.66,-8.48,-3.77
64,1000,4.83,13.26,-8.48,-7.55
128,1000,4.84,26.45,-8.46,-15.12
256,1000,4.88,52.5,-8.44,-30.33
512,1000,6.52,78.55,-8.39,-61.02
1024,1000,6.65,154.04,-8.29,-123.47
2048,1000,6.91,296.54,-8.10,-252.91
4096,1000,7.65,535.54,-7.71,-531.50
8192,1000,8.35,981.39,-6.92,-1183.15
16384,1000,14.84,1103.96,-5.36,-3057.39
32768,1000,22.16,1478.68,-2.23,-14702.85
65536,640,39.64,1653.24,4.03,16255.57
131072,320,74.44,1760.79,16.55,7918.72
262144,160,53.52,4899.08,41.59,6302.55
524288,80,88.58,5919.12,91.68,5718.95
1048576,40,151.58,6917.55,191.84,5465.88
2097152,20,275.61,7609.1,392.17,5347.57
4194304,10,605.39,6928.43,792.83,5290.31
8388608,5,1453.6,5771.1,1594.14,5262.14
16777216,2,3174.56,5284.93,3196.78,5248.17
33554432,1,6460.38,5193.97,6402.04,5241.21
67108864,1,12893.71,5204.9,12812.58,5237.73
134217728,1,25693.67,5223.87,25633.64,5236.00
268435456,1,51227.91,5240.07,51275.77,5235.13
