#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.23, 5457.61
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.22,0.0,0.23,0.00
1,1000,0.23,4.42,0.23,4.34
2,1000,0.22,8.93,0.23,8.68
4,1000,0.22,17.76,0.23,17.34
8,1000,0.23,35.51,0.23,34.56
16,1000,0.23,70.74,0.23,68.69
32,1000,0.24,133.43,0.24,135.67
64,1000,0.24,266.02,0.24,264.76
128,1000,0.26,498.25,0.25,505.02
256,1000,0.28,910.08,0.28,924.50
512,1000,0.44,1166.55,0.32,1581.15
1024,1000,0.45,2278.21,0.42,2451.94
2048,1000,0.59,3467.9,0.61,3383.69
4096,1000,0.85,4837.64,0.98,4177.41
8192,1000,1.46,5613.36,1.73,4732.46
16384,1000,2.4,6835.7,3.23,5069.23
32768,1000,3.61,9062.62,6.23,5256.26
65536,640,5.81,11278.59,12.24,5355.04
131072,320,8.91,14718.67,24.25,5405.84
262144,160,15.57,16835.45,48.26,5431.60
524288,80,41.23,12720.62,96.30,5444.57
1048576,40,84.9,12350.42,192.36,5451.08
2097152,20,165.32,12685.99,384.49,5454.35
4194304,10,426.22,9842.15,768.75,5455.98
8388608,5,1173.71,7149.06,1537.28,5456.79
16777216,2,2620.9,6405.07,3074.33,5457.20
33554432,1,6096.71,5503.79,6148.42,5457.41
67108864,1,12138.98,5528.39,12296.61,5457.51
134217728,1,24429.64,5494.07,24593.00,5457.56
268435456,1,50608.18,5304.21,49185.76,5457.58
