#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -89.44, 5341.39
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.22,0.0,-89.44,-0.00
1,1000,0.23,4.42,-89.44,-0.01
2,1000,0.22,8.93,-89.44,-0.02
4,1000,0.22,17.76,-89.44,-0.04
8,1000,0.23,35.51,-89.44,-0.09
16,1000,0.23,70.74,-89.43,-0.18
32,1000,0.24,133.43,-89.43,-0.36
64,1000,0.24,266.02,-89.43,-0.72
128,1000,0.26,498.25,-89.41,-1.43
256,1000,0.28,910.08,-89.39,-2.86
512,1000,0.44,1166.55,-89.34,-5.73
1024,1000,0.45,2278.21,-89.25,-11.47
2048,1000,0.59,3467.9,-89.05,-23.00
4096,1000,0.85,4837.64,-88.67,-46.19
8192,1000,1.46,5613.36,-87.90,-93.19
16384,1000,2.4,6835.7,-86.37,-189.70
32768,1000,3.61,9062.62,-83.30,-393.36
65536,640,5.81,11278.59,-77.17,-849.27
131072,320,8.91,14718.67,-64.90,-2019.65
262144,160,15.57,16835.45,-40.36,-6495.24
524288,80,41.23,12720.62,8.72,60135.75
1048576,40,84.9,12350.42,106.87,9811.33
2097152,20,165.32,12685.99,303.19,6917.06
4194304,10,426.22,9842.15,695.81,6027.96
8388608,5,1173.71,7149.06,1481.05,5663.95
16777216,2,2620.9,6405.07,3051.54,5497.95
33554432,1,6096.71,5503.79,6192.52,5418.54
67108864,1,12138.98,5528.39,12474.48,5379.69
134217728,1,24429.64,5494.07,25038.40,5360.47
268435456,1,50608.18,5304.21,50166.25,5350.92
