#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.91, 7440.93
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.91,0.0,0.91,0.00
1,1000,0.91,1.1,0.91,1.10
2,1000,0.91,2.2,0.91,2.20
4,1000,0.91,4.4,0.91,4.39
8,1000,0.91,8.78,0.91,8.78
16,1000,0.91,17.55,0.91,17.54
32,1000,0.91,35.01,0.91,35.00
64,1000,0.95,67.62,0.92,69.67
128,1000,0.97,131.18,0.93,138.05
256,1000,1.42,180.52,0.94,271.07
512,1000,1.49,344.68,0.98,523.08
1024,1000,1.65,621.19,1.05,977.46
2048,1000,2.0,1021.33,1.19,1727.93
4096,1000,2.83,1447.81,1.46,2804.58
8192,1000,4.1,1996.61,2.01,4073.72
16384,1000,6.46,2535.74,3.11,5264.99
32768,1000,8.97,3653.97,5.31,6166.64
65536,640,12.21,5365.82,9.72,6744.12
131072,320,19.83,6609.12,18.53,7075.41
262144,160,62.92,4166.4,36.14,7253.57
524288,80,94.62,5541.22,71.37,7346.05
1048576,40,153.55,6828.73,141.83,7393.19
2097152,20,270.28,7759.11,282.75,7416.98
4194304,10,502.18,8352.29,564.59,7428.94
8388608,5,976.94,8586.68,1128.27,7434.93
16777216,2,2104.23,7973.15,2255.63,7437.93
33554432,1,4564.84,7350.69,4510.35,7439.43
67108864,1,9112.53,7364.52,9019.79,7440.18
134217728,1,17796.1,7541.99,18038.67,7440.55
268435456,1,35760.56,7506.51,36076.43,7440.74
