#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -1.94, 7505.94
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.91,0.0,-1.94,-0.00
1,1000,0.91,1.1,-1.94,-0.52
2,1000,0.91,2.2,-1.94,-1.03
4,1000,0.91,4.4,-1.94,-2.07
8,1000,0.91,8.78,-1.94,-4.13
16,1000,0.91,17.55,-1.94,-8.27
32,1000,0.91,35.01,-1.93,-16.55
64,1000,0.95,67.62,-1.93,-33.18
128,1000,0.97,131.18,-1.92,-66.65
256,1000,1.42,180.52,-1.90,-134.49
512,1000,1.49,344.68,-1.87,-273.89
1024,1000,1.65,621.19,-1.80,-568.53
2048,1000,2.0,1021.33,-1.66,-1230.23
4096,1000,2.83,1447.81,-1.39,-2942.79
8192,1000,4.1,1996.61,-0.85,-9681.23
16384,1000,6.46,2535.74,0.25,66811.05
32768,1000,8.97,3653.97,2.43,13495.70
65536,640,12.21,5365.82,6.79,9646.67
131072,320,19.83,6609.12,15.52,8442.72
262144,160,62.92,4166.4,32.99,7946.82
524288,80,94.62,5541.22,67.91,7720.09
1048576,40,153.55,6828.73,137.76,7611.51
2097152,20,270.28,7759.11,277.46,7558.36
4194304,10,502.18,8352.29,556.86,7532.06
8388608,5,976.94,8586.68,1115.66,7518.98
16777216,2,2104.23,7973.15,2233.25,7512.45
33554432,1,4564.84,7350.69,4468.45,7509.20
67108864,1,9112.53,7364.52,8938.83,7507.57
134217728,1,17796.1,7541.99,17879.59,7506.75
268435456,1,35760.56,7506.51,35761.13,7506.35
