#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2:[ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.23, 5456.62
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.22,0.0,0.23,0.00
1,1000,0.23,4.39,0.23,4.34
2,1000,0.22,8.92,0.23,8.68
4,1000,0.23,17.68,0.23,17.34
8,1000,0.23,35.4,0.23,34.56
16,1000,0.23,70.6,0.23,68.69
32,1000,0.24,133.05,0.24,135.67
64,1000,0.24,265.12,0.24,264.76
128,1000,0.26,496.87,0.25,505.02
256,1000,0.28,908.19,0.28,924.47
512,1000,0.44,1157.49,0.32,1581.07
1024,1000,0.45,2289.5,0.42,2451.74
2048,1000,0.59,3463.22,0.61,3383.31
4096,1000,0.85,4837.29,0.98,4176.83
8192,1000,1.46,5614.39,1.73,4731.72
16384,1000,2.39,6867.2,3.23,5068.38
32768,1000,3.62,9059.85,6.24,5255.34
65536,640,5.81,11287.73,12.24,5354.09
131072,320,8.92,14692.5,24.25,5404.87
262144,160,15.75,16649.3,48.27,5430.62
524288,80,41.33,12685.73,96.31,5443.59
1048576,40,84.73,12375.03,192.40,5450.10
2097152,20,165.94,12638.5,384.56,5453.36
4194304,10,426.78,9829.27,768.89,5454.99
8388608,5,1171.15,7165.63,1537.56,5455.80
16777216,2,2580.31,6502.64,3074.88,5456.21
33554432,1,6088.82,5510.84,6149.54,5456.42
67108864,1,12150.42,5523.19,12298.84,5456.52
134217728,1,24422.68,5495.63,24597.46,5456.57
268435456,1,50679.7,5296.83,49194.69,5456.59
