#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2:[ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -92.20, 5335.59
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.22,0.0,-92.20,-0.00
1,1000,0.23,4.39,-92.20,-0.01
2,1000,0.22,8.92,-92.20,-0.02
4,1000,0.23,17.68,-92.20,-0.04
8,1000,0.23,35.4,-92.20,-0.09
16,1000,0.23,70.6,-92.20,-0.17
32,1000,0.24,133.05,-92.20,-0.35
64,1000,0.24,265.12,-92.19,-0.69
128,1000,0.26,496.87,-92.18,-1.39
256,1000,0.28,908.19,-92.16,-2.78
512,1000,0.44,1157.49,-92.11,-5.56
1024,1000,0.45,2289.5,-92.01,-11.13
2048,1000,0.59,3463.22,-91.82,-22.30
4096,1000,0.85,4837.29,-91.44,-44.80
8192,1000,1.46,5614.39,-90.67,-90.35
16384,1000,2.39,6867.2,-89.13,-183.82
32768,1000,3.62,9059.85,-86.06,-380.75
65536,640,5.81,11287.73,-79.92,-820.01
131072,320,8.92,14692.5,-67.64,-1937.84
262144,160,15.75,16649.3,-43.07,-6086.10
524288,80,41.33,12685.73,6.06,86535.87
1048576,40,84.73,12375.03,104.32,10051.44
2097152,20,165.94,12638.5,300.85,6970.86
4194304,10,426.78,9829.27,693.89,6044.58
8388608,5,1171.15,7165.63,1479.99,5668.00
16777216,2,2580.31,6502.64,3052.19,5496.78
33554432,1,6088.82,5510.84,6196.59,5414.99
67108864,1,12150.42,5523.19,12485.38,5375.00
134217728,1,24422.68,5495.63,25062.95,5355.22
268435456,1,50679.7,5296.83,50218.11,5345.39
